timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2459096.979166667,27.728721351316054,NAP,1
2459097.177083333,15.665890869530747,PP,19
2459097.3645833335,43.86611171700964,NAP,36
2459097.7708333335,41.676189930011134,PP,74
2459098.1145833335,17.63061434702391,NAP,106
2459098.28125,33.50424352076168,PP,121
2459098.40625,21.46278882392589,SKP,132
2459098.4479166665,3.017877429799018,NAP,135
2459098.8229166665,31.937158385516184,PP,170
2459099.375,25.30632465008695,NAP,222
2459099.7916666665,53.64761176493395,NAP,261
2459099.8333333335,28.667412828276785,PLP,264
2459099.9895833335,29.256146189220427,PP,278
2459100.125,0.16961685758867182,NAP,290
2459100.1666666665,0.7109955733752791,PLP,293
2459100.3333333335,23.56167177926341,NAP,308
2459100.78125,68.80110230862367,NAP,350
2459101.15625,39.172188258254465,SKP,385
2459101.2604166665,42.29908621383627,NAP,394
2459101.5416666665,40.696104106232816,PP,420
2459101.7708333335,31.259243871578196,PP,441
2459102.1145833335,38.45534996158391,NAP,473
2459102.5416666665,49.75480975625072,SKP,513
2459102.9375,75.66520982319182,NAP,550
2459103.2916666665,53.92449104338808,SKP,583
2459103.479166667,39.1870270828463,NAP,600
2459104.03125,45.626808378755804,PP,652
2459104.3333333335,71.896075987986,NAP,680
2459104.4166666665,3.1493244168444448,PLP,687
2459104.4583333335,27.009509587927738,NAP,690
2459104.7916666665,26.883132724701383,NAP,721
2459105.15625,32.32878696223991,PP,755
2459105.34375,31.346376588744707,SKP,772
2459105.677083333,28.84009477178522,NAP,803
2459105.9895833335,62.08290105069811,SKP,832
2459106.0729166665,19.71798061068813,NAP,839
2459106.1145833335,34.717704954366766,SKP,842
2459106.1666666665,0.2160398361485808,NAP,846
2459106.2083333335,50.06381845724534,NAP,849
2459106.40625,32.2858475738462,PP,867
2459106.854166667,44.17722333293482,NAP,909
2459107.28125,23.66911729349834,PP,949
2459107.5625,35.90649410976299,PP,975
2459107.65625,27.40449979512528,NAP,983
2459107.7604166665,37.2133511278666,PP,992
2459107.8645833335,33.95520776800703,NAP,1001
2459108.0833333335,21.058057228030382,PP,1021
2459108.34375,104.28962707821564,NAP,1045
2459109.0104166665,36.30129432822245,PP,1108
2459109.2083333335,26.177680390912066,NAP,1126
2459109.5729166665,86.85319364031015,NAP,1160
2459110.0416666665,29.459473226798313,PP,1204
2459110.2604166665,43.912225076758176,NAP,1224
2459110.7395833335,49.56077663497289,PP,1269
2459110.979166667,32.87996133591603,NAP,1291
2459111.302083333,49.80320594684917,PP,1321
2459111.5625,2.749862922344461,NAP,1345
2459111.65625,30.078831804720398,PP,1353
2459111.7604166665,33.60648720541295,SKP,1362
2459111.8958333335,28.187995217010336,NAP,1374
2459112.375,6.896747526600344,PLP,1419
2459112.46875,29.51117605369303,NAP,1427
2459112.7395833335,28.148914337991574,NAP,1452
2459113.302083333,30.254590944203375,PP,1505
2459113.4895833335,18.88640615934507,PP,1522
2459113.7083333335,15.141811110929833,NAP,1542
