timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456064.1979166665,112.40602,NPLP,2083
2456076.5625,113.10874,NPLP,3270
2456076.625,84.50452,NPLP,3276
2456076.8125,90.1541,NPLP,3294
2456076.875,96.68559,NPLP,3300
2456100.0208333335,112.03548,NPLP,5522
2456100.052083333,111.27075,NPLP,5525
2456100.104166667,109.37583,NPLP,5530
2456100.21875,107.00181,NPLP,5541
2456113.1458333335,119.94422,NPLP,6782
2456113.3229166665,74.88189,NPLP,6799
2456130.3333333335,107.4735,NPLP,8432
2456130.4166666665,105.65717,NPLP,8440
2456131.0625,108.42024,NPLP,8502
2456131.15625,105.38424,NPLP,8511
2456131.1875,104.87881,NPLP,8514
2456131.28125,102.20755,NPLP,8523
2456131.40625,98.74541,NPLP,8535
2456131.729166667,104.99854,NPLP,8566
2456131.7708333335,109.97114,NPLP,8570
2456131.9166666665,109.24486,NPLP,8584
2456131.979166667,106.31861,NPLP,8590
2456132.15625,99.51886,NPLP,8607
2456132.2708333335,95.18099,NPLP,8618
2456132.3125,89.00471,NPLP,8622
2456140.21875,105.47544,NPLP,9381
2456140.479166667,96.69528,NPLP,9406
2456140.5,96.67773,NPLP,9408
2456142.4375,90.09192,NPLP,9594
2456142.5729166665,89.30787,NPLP,9607
2456142.6145833335,91.1111,NPLP,9611
2456142.7083333335,104.59188,NPLP,9620
2456142.729166667,104.80108,NPLP,9622
2456142.7708333335,102.31347,NPLP,9626
2456142.802083333,105.74228,NPLP,9629
2456142.8229166665,106.6792,NPLP,9631
2456142.84375,107.02013,NPLP,9633
2456142.9479166665,106.61799,NPLP,9643
2456143.0208333335,102.80989,NPLP,9650
2456143.0729166665,99.86129,NPLP,9655
2456143.104166667,101.3214,NPLP,9658
2456143.15625,91.57545,NPLP,9663
2456143.177083333,94.22641,NPLP,9665
2456143.2083333335,87.35852,NPLP,9668
2456143.229166667,86.41258,NPLP,9670
2456143.25,85.995,NPLP,9672
2456143.2708333335,83.29651,NPLP,9674
2456143.6979166665,89.99052,NPLP,9715
2456143.7395833335,89.61439,NPLP,9719
2456143.8645833335,100.78208,NPLP,9731
2456143.8958333335,101.07193,NPLP,9734
2456143.9479166665,99.74812,NPLP,9739
2456143.979166667,99.54498,NPLP,9742
2456144.0,98.57757,NPLP,9744
2456144.0416666665,94.29994,NPLP,9748
2456144.0729166665,98.01647,NPLP,9751
2456144.21875,89.10217,NPLP,9765
2456144.2708333335,87.23257,NPLP,9770
2456144.7604166665,83.02811,NPLP,9817
2456145.3958333335,97.01844,NPLP,9878
2456147.5104166665,98.6463,NPLP,10081
2456147.59375,101.3669,NPLP,10089
2456148.3229166665,95.17927,NPLP,10159
2456148.5833333335,88.12457,NPLP,10184
2456148.6979166665,84.18042,NPLP,10195
2456148.854166667,84.77809,NPLP,10210
2456148.875,85.76891,NPLP,10212
2456148.979166667,95.37926,NPLP,10222
2456149.0104166665,93.35098,NPLP,10225
2456149.0416666665,90.09239,NPLP,10228
2456149.0625,90.17814,NPLP,10230
2456149.1145833335,87.1323,NPLP,10235
2456149.1458333335,108.6062,NPLP,10238
2456149.375,85.45376,NPLP,10260
2456149.46875,84.9517,NPLP,10269
2456149.53125,100.32418,NPLP,10275
2456160.3854166665,104.66022,NPLP,11317
2456160.40625,101.75049,NPLP,11319
2456160.5208333335,106.29075,NPLP,11330
2456162.604166667,100.16022,NPLP,11530
2456162.625,98.39835,NPLP,11532
2456162.6875,107.26816,NPLP,11538
2456162.96875,108.3913,NPLP,11565
2456162.9895833335,108.08415,NPLP,11567
2456163.052083333,106.81535,NPLP,11573
2456163.0833333335,107.77316,NPLP,11576
2456163.1666666665,102.82987,NPLP,11584
2456163.2083333335,102.04299,NPLP,11588
2456163.3958333335,91.55336,NPLP,11606
2456164.2395833335,102.5498,NPLP,11687
2456164.71875,95.90736,NPLP,11733
2456164.78125,108.38059,NPLP,11739
2456164.8125,107.1115,NPLP,11742
2456164.8854166665,106.71087,NPLP,11749
2456164.9166666665,105.70794,NPLP,11752
2456164.9479166665,105.6988,NPLP,11755
2456165.0104166665,105.18177,NPLP,11761
2456165.1354166665,104.31081,NPLP,11773
2456165.177083333,104.28433,NPLP,11777
2456165.229166667,96.97754,NPLP,11782
2456165.2916666665,95.01192,NPLP,11788
2456165.34375,95.67254,NPLP,11793
2456165.3958333335,94.40726,NPLP,11798
2456165.552083333,91.75445,NPLP,11813
2456165.802083333,90.37366,NPLP,11837
2456165.9166666665,91.90759,NPLP,11848
2456165.9895833335,92.30651,NPLP,11855
2456166.8645833335,92.15619,NPLP,11939
2456166.8958333335,90.37856,NPLP,11942
2456167.052083333,92.43343,NPLP,11957
2456170.8229166665,99.57211,NPLP,12319
2456171.0729166665,98.5475,NPLP,12343
2456171.8854166665,95.96182,NPLP,12421
2456171.9895833335,95.79464,NPLP,12431
2456172.15625,94.71973,NPLP,12447
2456172.354166667,93.3473,NPLP,12466
2456172.5,96.81355,NPLP,12480
2456175.0625,115.98747,NPLP,12726
2456175.5,112.29851,NPLP,12768
2456175.677083333,61.1824,NPLP,12785
2456178.1875,101.90044,NPLP,13026
2456179.125,107.08617,NPLP,13116
2456179.229166667,99.48474,NPLP,13126
2456184.177083333,104.36539,NPLP,13601
2456185.09375,106.28695,NPLP,13689
2456185.1875,101.89603,NPLP,13698
2456185.2083333335,102.9489,NPLP,13700
2456185.2916666665,98.94348,NPLP,13708
2456188.4375,107.29935,NPLP,14010
2456188.4583333335,104.66612,NPLP,14012
2456188.5,104.3463,NPLP,14016
2456188.5416666665,102.76182,NPLP,14020
2456188.59375,100.92512,NPLP,14025
2456188.625,102.27696,NPLP,14028
2456188.6979166665,100.68907,NPLP,14035
2456188.7708333335,97.34601,NPLP,14042
2456188.8645833335,97.37031,NPLP,14051
2456189.3645833335,86.17979,NPLP,14099
2456193.1666666665,101.7823,NPLP,14464
2456193.28125,100.34966,NPLP,14475
2456193.3229166665,92.65586,NPLP,14479
2456228.1145833335,108.69739,NPLP,17819
2456231.96875,99.72336,NPLP,17822
2456232.0,107.18071,NPLP,17825
2456232.104166667,125.22706,PLP,17835
2456238.052083333,112.7122,NPLP,18406
2456238.1354166665,118.30673,NPLP,18414
2456238.177083333,123.50215,NPLP,18418
2456238.2083333335,117.29904,NPLP,18421
2456238.229166667,125.75074,NPLP,18423
2456246.5625,105.56927,NPLP,19223
2456246.625,105.61843,NPLP,19229
2456323.875,91.16676,NPLP,25864
2456324.5833333335,104.11919,NPLP,25932
2456364.0208333335,112.64063,NPLP,29718
2456364.25,100.07358,NPLP,29740
2456364.354166667,89.94156,NPLP,29750
