timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-04-27 03:45:00,26.71488,NPP,207
2012-05-01 10:15:00,27.74371,NPP,617
2012-05-04 11:15:00,26.34231,NPP,909
2012-05-08 17:45:00,37.29078,NPP,1319
2012-05-15 19:00:00,37.94644,NPP,1996
2012-05-16 19:15:00,41.00051,NPP,2093
2012-05-29 04:00:00,48.54625,NPP,3280
2012-05-29 11:00:00,58.09281,NPP,3308
2012-05-29 20:30:00,47.36985,NPP,3346
2012-06-02 18:45:00,44.25958,NPP,3723
2012-06-04 15:15:00,31.14521,NPP,3901
2012-06-13 09:00:00,20.63006,NPP,4740
2012-06-21 17:00:00,23.08516,PP,5540
2012-06-24 19:00:00,17.40392,PP,5836
2012-06-25 16:00:00,47.96928,NPP,5920
2012-06-27 05:45:00,31.39729,NPP,6071
2012-06-29 07:15:00,23.04135,NPP,6269
2012-07-02 20:45:00,23.72689,NPP,6611
2012-07-04 06:30:00,26.45343,NPP,6746
2012-07-04 18:00:00,75.36282,NPP,6792
2012-07-04 21:30:00,72.30349,NPP,6806
2012-07-15 15:30:00,27.07469,NPP,7838
2012-07-17 10:45:00,24.26887,NPP,8011
2012-07-21 21:15:00,24.96976,PP,8437
2012-07-23 02:00:00,33.84126,PP,8552
2012-07-23 19:15:00,39.89691,PP,8621
2012-07-24 02:45:00,56.92732,NPP,8651
2012-07-26 13:45:00,24.84844,NPP,8887
2012-07-30 20:15:00,21.45097,PP,9297
2012-07-31 21:45:00,34.30678,PP,9399
2012-08-03 01:00:00,40.49317,PP,9604
2012-08-03 21:30:00,50.14263,PP,9686
2012-08-05 15:30:00,47.91348,PP,9854
2012-08-08 00:00:00,30.35776,PP,10080
2012-08-09 06:45:00,45.19208,PP,10203
2012-08-09 18:00:00,52.78462,NPP,10248
2012-08-10 03:00:00,71.71563,NPP,10284
2012-08-10 15:00:00,60.6578,NPP,10332
2012-08-20 22:45:00,28.87002,PP,11323
2012-08-21 19:45:00,27.14064,PP,11407
2012-08-23 02:15:00,30.26299,PP,11529
2012-08-23 21:00:00,37.20134,PP,11604
2012-08-25 02:15:00,34.16402,PP,11721
2012-08-26 04:30:00,40.37876,PP,11826
2012-08-27 05:00:00,40.74936,PP,11924
2012-09-01 21:30:00,37.8002,PP,12470
2012-09-02 21:30:00,23.82383,PP,12566
2012-09-04 05:30:00,31.11343,PP,12694
2012-09-05 04:00:00,76.61857,NPP,12784
2012-09-07 16:45:00,28.12197,PP,13027
2012-09-08 20:15:00,58.20366,NPP,13137
2012-09-12 21:00:00,27.78394,PP,13524
2012-09-13 21:45:00,33.56401,PP,13623
2012-09-15 00:45:00,36.69668,PP,13731
2012-09-18 11:00:00,31.82247,PP,14060
2012-09-18 23:30:00,80.11048,NPP,14110
2012-09-22 19:00:00,33.23482,PP,14476
2012-09-23 02:45:00,35.28677,NPP,14507
2012-09-27 00:30:00,36.14231,NPP,14882
2012-09-29 08:30:00,30.92025,NPP,15106
2012-10-01 08:45:00,40.95841,NPP,15299
2012-10-03 17:45:00,38.12264,NPP,15527
2012-10-04 20:15:00,45.87574,NPP,15633
2012-10-06 14:00:00,40.86995,NPP,15800
2012-10-10 19:00:00,40.73629,NPP,16204
2012-10-14 12:15:00,28.63897,NPP,16561
