timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-05-01 10:00:00,28.46222,cand,616
2012-05-08 17:30:00,38.09339,cand,1318
2012-05-15 18:15:00,38.94278,cand,1993
2012-05-16 18:45:00,43.10656,cand,2091
2012-05-29 01:15:00,20.55849,cand,3269
2012-05-29 02:30:00,47.33297,cand,3274
2012-05-29 03:45:00,50.91167,cand,3279
2012-05-29 08:30:00,50.87842,cand,3298
2012-05-29 10:15:00,61.43491,cand,3305
2012-05-29 20:15:00,48.39317,cand,3345
2012-06-02 18:15:00,45.57343,cand,3721
2012-06-21 12:00:00,18.42861,cand,5520
2012-06-21 12:45:00,20.83032,cand,5523
2012-06-21 13:30:00,23.85191,cand,5526
2012-06-21 16:15:00,25.05013,cand,5537
2012-06-21 18:15:00,23.56675,cand,5545
2012-06-22 14:30:00,18.09082,cand,5626
2012-06-25 15:30:00,51.68857,cand,5918
2012-06-27 05:15:00,31.71394,cand,6069
2012-07-04 06:15:00,27.09485,cand,6745
2012-07-04 17:45:00,78.58798,cand,6791
2012-07-04 21:00:00,74.8949,cand,6804
2012-07-13 19:15:00,20.71666,cand,7661
2012-07-15 15:00:00,28.68334,cand,7836
2012-07-21 19:45:00,24.54054,cand,8431
2012-07-21 21:00:00,27.37681,cand,8436
2012-07-22 00:00:00,26.3085,cand,8448
2012-07-22 13:15:00,23.32595,cand,8501
2012-07-22 15:00:00,27.29073,cand,8508
2012-07-22 16:15:00,26.41713,cand,8513
2012-07-22 17:30:00,29.27985,cand,8518
2012-07-22 20:30:00,33.90166,cand,8530
2012-07-23 02:45:00,35.11464,cand,8555
2012-07-23 05:45:00,29.67712,cand,8567
2012-07-23 06:45:00,20.67622,cand,8571
2012-07-23 09:15:00,21.19467,cand,8581
2012-07-23 11:15:00,24.86843,cand,8589
2012-07-23 15:00:00,33.932,cand,8604
2012-07-23 18:00:00,39.96677,cand,8616
2012-07-23 19:00:00,44.71801,cand,8620
2012-07-23 20:30:00,43.67657,cand,8626
2012-07-24 01:45:00,60.09235,cand,8647
2012-07-31 16:30:00,25.18196,cand,9378
2012-07-31 22:30:00,36.25672,cand,9402
2012-07-31 23:45:00,34.67468,cand,9407
2012-08-01 00:30:00,34.15572,cand,9410
2012-08-01 19:45:00,19.80348,cand,9487
2012-08-02 21:00:00,41.04288,cand,9588
2012-08-03 01:00:00,41.63979,cand,9604
2012-08-03 02:30:00,41.69401,cand,9610
2012-08-03 03:15:00,40.32874,cand,9613
2012-08-03 05:15:00,26.13342,cand,9621
2012-08-03 06:15:00,31.68778,cand,9625
2012-08-03 06:45:00,32.16421,cand,9627
2012-08-03 07:30:00,26.00291,cand,9630
2012-08-03 08:00:00,30.76914,cand,9632
2012-08-03 08:30:00,26.10147,cand,9634
2012-08-03 09:30:00,24.15931,cand,9638
2012-08-03 12:15:00,28.8368,cand,9649
2012-08-03 13:30:00,32.6606,cand,9654
2012-08-03 14:15:00,31.93856,cand,9657
2012-08-03 15:30:00,43.22479,cand,9662
2012-08-03 16:00:00,40.06621,cand,9664
2012-08-03 16:30:00,43.95309,cand,9666
2012-08-03 17:15:00,44.6377,cand,9669
2012-08-03 17:45:00,47.05778,cand,9671
2012-08-03 18:15:00,49.8469,cand,9673
2012-08-03 22:15:00,52.03049,cand,9689
2012-08-04 05:30:00,44.36391,cand,9718
2012-08-04 06:00:00,45.90906,cand,9720
2012-08-04 08:30:00,33.59535,cand,9730
2012-08-04 09:15:00,35.03789,cand,9733
2012-08-04 10:00:00,37.93062,cand,9736
2012-08-04 11:15:00,31.74759,cand,9741
2012-08-04 11:45:00,32.76187,cand,9743
2012-08-04 12:30:00,40.31303,cand,9746
2012-08-04 13:15:00,36.43502,cand,9749
2012-08-04 17:00:00,41.33046,cand,9764
2012-08-04 18:15:00,45.68238,cand,9769
2012-08-04 21:30:00,48.37578,cand,9782
2012-08-05 15:00:00,48.51689,cand,9852
2012-08-05 22:15:00,35.66415,cand,9881
2012-08-07 23:30:00,32.33657,cand,10078
2012-08-08 00:45:00,32.19619,cand,10083
2012-08-08 02:30:00,29.16729,cand,10090
2012-08-08 19:30:00,35.74536,cand,10158
2012-08-09 01:15:00,45.04496,cand,10181
2012-08-09 03:45:00,47.63798,cand,10191
2012-08-09 05:30:00,47.14303,cand,10198
2012-08-09 08:45:00,47.35576,cand,10211
2012-08-09 11:00:00,49.23068,cand,10220
2012-08-09 11:45:00,43.79969,cand,10223
2012-08-09 12:30:00,48.05936,cand,10226
2012-08-09 13:15:00,42.01496,cand,10229
2012-08-09 14:15:00,48.10162,cand,10233
2012-08-09 15:15:00,48.04328,cand,10237
2012-08-09 17:30:00,55.56765,cand,10246
2012-08-09 22:00:00,46.10063,cand,10264
2012-08-10 00:00:00,46.61221,cand,10272
2012-08-10 02:15:00,76.19976,cand,10281
2012-08-10 14:15:00,61.72687,cand,10329
2012-08-19 18:45:00,20.8567,cand,11211
2012-08-20 20:45:00,26.273,cand,11315
2012-08-20 21:30:00,28.76154,cand,11318
2012-08-20 23:15:00,34.10466,cand,11325
2012-08-21 00:45:00,25.98876,cand,11331
2012-08-21 20:15:00,29.87959,cand,11409
2012-08-23 02:00:00,31.42302,cand,11528
2012-08-23 02:45:00,32.10751,cand,11531
2012-08-23 03:15:00,32.09089,cand,11533
2012-08-23 04:45:00,24.46797,cand,11539
2012-08-23 10:30:00,22.23205,cand,11562
2012-08-23 11:30:00,23.43218,cand,11566
2012-08-23 12:45:00,27.21418,cand,11571
2012-08-23 13:30:00,25.93424,cand,11574
2012-08-23 15:45:00,28.70949,cand,11583
2012-08-23 16:45:00,31.25499,cand,11587
2012-08-23 21:15:00,40.17505,cand,11605
2012-08-23 21:45:00,39.10776,cand,11607
2012-08-24 17:15:00,28.79574,cand,11685
2012-08-25 04:45:00,35.03145,cand,11731
2012-08-25 05:45:00,35.65444,cand,11735
2012-08-25 07:15:00,26.69868,cand,11741
2012-08-25 08:15:00,29.62692,cand,11745
2012-08-25 09:45:00,26.65698,cand,11751
2012-08-25 10:30:00,25.67709,cand,11754
2012-08-25 12:00:00,26.57514,cand,11760
2012-08-25 13:45:00,31.83556,cand,11767
2012-08-25 16:00:00,29.19518,cand,11776
2012-08-25 17:15:00,38.34283,cand,11781
2012-08-25 18:15:00,36.20446,cand,11785
2012-08-25 19:30:00,37.66864,cand,11790
2012-08-25 21:15:00,38.13462,cand,11797
2012-08-26 00:45:00,38.93029,cand,11811
2012-08-26 03:45:00,42.9713,cand,11823
2012-08-26 07:45:00,40.34229,cand,11839
2012-08-26 10:45:00,40.02908,cand,11851
2012-08-26 13:15:00,38.91252,cand,11861
2012-08-27 05:00:00,41.67178,cand,11924
2012-08-27 09:15:00,40.06906,cand,11941
2012-08-27 10:00:00,41.01634,cand,11944
2012-08-27 13:45:00,38.79537,cand,11959
2012-08-31 07:15:00,31.35713,cand,12317
2012-08-31 12:15:00,32.52785,cand,12337
2012-09-01 08:45:00,36.11787,cand,12419
2012-09-01 10:45:00,36.14327,cand,12427
2012-09-01 12:00:00,36.87904,cand,12432
2012-09-01 15:30:00,35.77651,cand,12446
2012-09-01 20:15:00,39.33085,cand,12465
2012-09-01 21:30:00,38.37483,cand,12470
2012-09-02 00:15:00,33.86513,cand,12481
2012-09-02 22:45:00,27.1833,cand,12571
2012-09-04 05:45:00,32.41097,cand,12695
2012-09-04 13:15:00,16.20113,cand,12725
2012-09-04 23:15:00,27.08211,cand,12765
2012-09-05 03:30:00,81.83585,cand,12782
2012-09-05 05:15:00,78.46205,cand,12789
2012-09-07 16:15:00,29.83226,cand,13025
2012-09-07 17:00:00,30.73951,cand,13028
2012-09-08 14:30:00,32.00525,cand,13114
2012-09-08 16:00:00,38.99823,cand,13120
2012-09-08 20:15:00,59.58092,cand,13137
2012-09-12 21:15:00,29.75231,cand,13525
2012-09-13 15:45:00,26.75778,cand,13599
2012-09-13 21:15:00,35.6397,cand,13621
2012-09-14 13:45:00,24.19341,cand,13687
2012-09-14 16:15:00,29.70587,cand,13697
2012-09-14 16:45:00,28.57032,cand,13699
2012-09-14 18:45:00,37.65988,cand,13707
2012-09-14 22:00:00,37.91895,cand,13720
2012-09-17 22:15:00,26.8266,cand,14009
2012-09-17 22:45:00,28.23313,cand,14011
2012-09-17 23:30:00,30.75662,cand,14014
2012-09-18 00:30:00,31.20752,cand,14018
2012-09-18 02:00:00,32.03081,cand,14024
2012-09-18 02:45:00,32.12352,cand,14027
2012-09-18 04:15:00,32.24346,cand,14033
2012-09-18 05:30:00,33.09176,cand,14038
2012-09-18 08:00:00,33.34657,cand,14048
2012-09-18 12:15:00,33.47251,cand,14065
2012-09-18 20:30:00,45.60174,cand,14098
2012-09-18 23:00:00,82.65973,cand,14108
2012-09-22 15:45:00,28.94678,cand,14463
2012-09-22 17:45:00,33.7313,cand,14471
2012-09-22 19:15:00,39.12006,cand,14477
2012-09-22 20:00:00,38.19407,cand,14480
2012-09-23 02:30:00,35.74796,cand,14506
2012-09-26 23:45:00,38.03625,cand,14879
2012-09-29 09:15:00,31.18584,cand,15109
