timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456044.65625,26.71488,NPP,207
2456048.927083333,27.74371,NPP,617
2456051.96875,26.34231,NPP,909
2456056.2395833335,37.29078,NPP,1319
2456063.2916666665,37.94644,NPP,1996
2456064.302083333,41.00051,NPP,2093
2456076.6666666665,48.54625,NPP,3280
2456076.9583333335,58.09281,NPP,3308
2456077.354166667,47.36985,NPP,3346
2456081.28125,44.25958,NPP,3723
2456083.1354166665,31.14521,NPP,3901
2456091.875,20.63006,NPP,4740
2456100.2083333335,23.08516,PP,5540
2456103.2916666665,17.40392,PP,5836
2456104.1666666665,47.96928,NPP,5920
2456105.7395833335,31.39729,NPP,6071
2456107.802083333,23.04135,NPP,6269
2456111.3645833335,23.72689,NPP,6611
2456112.7708333335,26.45343,NPP,6746
2456113.25,75.36282,NPP,6792
2456113.3958333335,72.30349,NPP,6806
2456124.1458333335,27.07469,NPP,7838
2456125.9479166665,24.26887,NPP,8011
2456130.3854166665,24.96976,PP,8437
2456131.5833333335,33.84126,PP,8552
2456132.302083333,39.89691,PP,8621
2456132.6145833335,56.92732,NPP,8651
2456135.0729166665,24.84844,NPP,8887
2456139.34375,21.45097,PP,9297
2456140.40625,34.30678,PP,9399
2456142.5416666665,40.49317,PP,9604
2456143.3958333335,50.14263,PP,9686
2456145.1458333335,47.91348,PP,9854
2456147.5,30.35776,PP,10080
2456148.78125,45.19208,PP,10203
2456149.25,52.78462,NPP,10248
2456149.625,71.71563,NPP,10284
2456150.125,60.6578,NPP,10332
2456160.4479166665,28.87002,PP,11323
2456161.3229166665,27.14064,PP,11407
2456162.59375,30.26299,PP,11529
2456163.375,37.20134,PP,11604
2456164.59375,34.16402,PP,11721
2456165.6875,40.37876,PP,11826
2456166.7083333335,40.74936,PP,11924
2456172.3958333335,37.8002,PP,12470
2456173.3958333335,23.82383,PP,12566
2456174.729166667,31.11343,PP,12694
2456175.6666666665,76.61857,NPP,12784
2456178.1979166665,28.12197,PP,13027
2456179.34375,58.20366,NPP,13137
2456183.375,27.78394,PP,13524
2456184.40625,33.56401,PP,13623
2456185.53125,36.69668,PP,13731
2456188.9583333335,31.82247,PP,14060
2456189.479166667,80.11048,NPP,14110
2456193.2916666665,33.23482,PP,14476
2456193.6145833335,35.28677,NPP,14507
