timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456048.9166666665,28.46222,cand,616
2456056.229166667,38.09339,cand,1318
2456063.2604166665,38.94278,cand,1993
2456064.28125,43.10656,cand,2091
2456076.552083333,20.55849,cand,3269
2456076.604166667,47.33297,cand,3274
2456076.65625,50.91167,cand,3279
2456076.854166667,50.87842,cand,3298
2456076.927083333,61.43491,cand,3305
2456077.34375,48.39317,cand,3345
2456081.2604166665,45.57343,cand,3721
2456100.0,18.42861,cand,5520
2456100.03125,20.83032,cand,5523
2456100.0625,23.85191,cand,5526
2456100.177083333,25.05013,cand,5537
2456100.2604166665,23.56675,cand,5545
2456101.104166667,18.09082,cand,5626
2456104.1458333335,51.68857,cand,5918
2456105.71875,31.71394,cand,6069
2456112.7604166665,27.09485,cand,6745
2456113.2395833335,78.58798,cand,6791
2456113.375,74.8949,cand,6804
2456122.302083333,20.71666,cand,7661
2456124.125,28.68334,cand,7836
2456130.3229166665,24.54054,cand,8431
2456130.375,27.37681,cand,8436
2456130.5,26.3085,cand,8448
2456131.052083333,23.32595,cand,8501
2456131.125,27.29073,cand,8508
2456131.177083333,26.41713,cand,8513
2456131.229166667,29.27985,cand,8518
2456131.354166667,33.90166,cand,8530
2456131.6145833335,35.11464,cand,8555
2456131.7395833335,29.67712,cand,8567
2456131.78125,20.67622,cand,8571
2456131.8854166665,21.19467,cand,8581
2456131.96875,24.86843,cand,8589
2456132.125,33.932,cand,8604
2456132.25,39.96677,cand,8616
2456132.2916666665,44.71801,cand,8620
2456132.354166667,43.67657,cand,8626
2456132.5729166665,60.09235,cand,8647
2456140.1875,25.18196,cand,9378
2456140.4375,36.25672,cand,9402
2456140.4895833335,34.67468,cand,9407
2456140.5208333335,34.15572,cand,9410
2456141.3229166665,19.80348,cand,9487
2456142.375,41.04288,cand,9588
2456142.5416666665,41.63979,cand,9604
2456142.604166667,41.69401,cand,9610
2456142.6354166665,40.32874,cand,9613
2456142.71875,26.13342,cand,9621
2456142.7604166665,31.68778,cand,9625
2456142.78125,32.16421,cand,9627
2456142.8125,26.00291,cand,9630
2456142.8333333335,30.76914,cand,9632
2456142.854166667,26.10147,cand,9634
2456142.8958333335,24.15931,cand,9638
2456143.0104166665,28.8368,cand,9649
2456143.0625,32.6606,cand,9654
2456143.09375,31.93856,cand,9657
2456143.1458333335,43.22479,cand,9662
2456143.1666666665,40.06621,cand,9664
2456143.1875,43.95309,cand,9666
2456143.21875,44.6377,cand,9669
2456143.2395833335,47.05778,cand,9671
2456143.2604166665,49.8469,cand,9673
2456143.427083333,52.03049,cand,9689
2456143.729166667,44.36391,cand,9718
2456143.75,45.90906,cand,9720
2456143.854166667,33.59535,cand,9730
2456143.8854166665,35.03789,cand,9733
2456143.9166666665,37.93062,cand,9736
2456143.96875,31.74759,cand,9741
2456143.9895833335,32.76187,cand,9743
2456144.0208333335,40.31303,cand,9746
2456144.052083333,36.43502,cand,9749
2456144.2083333335,41.33046,cand,9764
2456144.2604166665,45.68238,cand,9769
2456144.3958333335,48.37578,cand,9782
2456145.125,48.51689,cand,9852
2456145.427083333,35.66415,cand,9881
2456147.479166667,32.33657,cand,10078
2456147.53125,32.19619,cand,10083
2456147.604166667,29.16729,cand,10090
2456148.3125,35.74536,cand,10158
2456148.552083333,45.04496,cand,10181
2456148.65625,47.63798,cand,10191
2456148.729166667,47.14303,cand,10198
2456148.8645833335,47.35576,cand,10211
2456148.9583333335,49.23068,cand,10220
2456148.9895833335,43.79969,cand,10223
2456149.0208333335,48.05936,cand,10226
2456149.052083333,42.01496,cand,10229
2456149.09375,48.10162,cand,10233
2456149.1354166665,48.04328,cand,10237
2456149.229166667,55.56765,cand,10246
2456149.4166666665,46.10063,cand,10264
2456149.5,46.61221,cand,10272
2456149.59375,76.19976,cand,10281
2456150.09375,61.72687,cand,10329
2456159.28125,20.8567,cand,11211
2456160.3645833335,26.273,cand,11315
2456160.3958333335,28.76154,cand,11318
2456160.46875,34.10466,cand,11325
2456160.53125,25.98876,cand,11331
2456161.34375,29.87959,cand,11409
2456162.5833333335,31.42302,cand,11528
2456162.6145833335,32.10751,cand,11531
2456162.6354166665,32.09089,cand,11533
2456162.6979166665,24.46797,cand,11539
2456162.9375,22.23205,cand,11562
2456162.979166667,23.43218,cand,11566
