timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-05-16 16:45:00,112.40602,NPLP,2083
2012-05-29 01:30:00,113.10874,NPLP,3270
2012-05-29 03:00:00,84.50452,NPLP,3276
2012-05-29 07:30:00,90.1541,NPLP,3294
2012-05-29 09:00:00,96.68559,NPLP,3300
2012-06-21 12:30:00,112.03548,NPLP,5522
2012-06-21 13:15:00,111.27075,NPLP,5525
2012-06-21 14:30:00,109.37583,NPLP,5530
2012-06-21 17:15:00,107.00181,NPLP,5541
2012-07-04 15:30:00,119.94422,NPLP,6782
2012-07-04 19:45:00,74.88189,NPLP,6799
2012-07-21 20:00:00,107.4735,NPLP,8432
2012-07-21 22:00:00,105.65717,NPLP,8440
2012-07-22 13:30:00,108.42024,NPLP,8502
2012-07-22 15:45:00,105.38424,NPLP,8511
2012-07-22 16:30:00,104.87881,NPLP,8514
2012-07-22 18:45:00,102.20755,NPLP,8523
2012-07-22 21:45:00,98.74541,NPLP,8535
2012-07-23 05:30:00,104.99854,NPLP,8566
2012-07-23 06:30:00,109.97114,NPLP,8570
2012-07-23 10:00:00,109.24486,NPLP,8584
2012-07-23 11:30:00,106.31861,NPLP,8590
2012-07-23 15:45:00,99.51886,NPLP,8607
2012-07-23 18:30:00,95.18099,NPLP,8618
2012-07-23 19:30:00,89.00471,NPLP,8622
2012-07-31 17:15:00,105.47544,NPLP,9381
2012-07-31 23:30:00,96.69528,NPLP,9406
2012-08-01 00:00:00,96.67773,NPLP,9408
2012-08-02 22:30:00,90.09192,NPLP,9594
2012-08-03 01:45:00,89.30787,NPLP,9607
2012-08-03 02:45:00,91.1111,NPLP,9611
2012-08-03 05:00:00,104.59188,NPLP,9620
2012-08-03 05:30:00,104.80108,NPLP,9622
2012-08-03 06:30:00,102.31347,NPLP,9626
2012-08-03 07:15:00,105.74228,NPLP,9629
2012-08-03 07:45:00,106.6792,NPLP,9631
2012-08-03 08:15:00,107.02013,NPLP,9633
2012-08-03 10:45:00,106.61799,NPLP,9643
2012-08-03 12:30:00,102.80989,NPLP,9650
2012-08-03 13:45:00,99.86129,NPLP,9655
2012-08-03 14:30:00,101.3214,NPLP,9658
2012-08-03 15:45:00,91.57545,NPLP,9663
2012-08-03 16:15:00,94.22641,NPLP,9665
2012-08-03 17:00:00,87.35852,NPLP,9668
2012-08-03 17:30:00,86.41258,NPLP,9670
2012-08-03 18:00:00,85.995,NPLP,9672
2012-08-03 18:30:00,83.29651,NPLP,9674
2012-08-04 04:45:00,89.99052,NPLP,9715
2012-08-04 05:45:00,89.61439,NPLP,9719
2012-08-04 08:45:00,100.78208,NPLP,9731
2012-08-04 09:30:00,101.07193,NPLP,9734
2012-08-04 10:45:00,99.74812,NPLP,9739
