timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-05-01 10:00:00,28.46222,NSKP,616
2012-05-08 17:30:00,38.09339,NSKP,1318
2012-05-15 18:15:00,38.94278,NSKP,1993
2012-05-16 18:45:00,43.10656,NSKP,2091
2012-05-29 01:15:00,20.55849,NSKP,3269
2012-05-29 03:45:00,50.91167,NSKP,3279
2012-05-29 08:30:00,50.87842,NSKP,3298
2012-05-29 10:15:00,61.43491,NSKP,3305
2012-05-29 20:15:00,48.39317,NSKP,3345
2012-06-02 18:15:00,45.57343,NSKP,3721
2012-06-04 15:15:00,31.40129,NSKP,3901
2012-06-21 13:30:00,23.85191,NSKP,5526
2012-06-21 16:15:00,25.05013,NSKP,5537
2012-06-25 15:30:00,51.68857,NSKP,5918
2012-06-27 05:15:00,31.71394,NSKP,6069
2012-07-02 19:15:00,24.5393,NSKP,6605
2012-07-04 06:15:00,27.09485,NSKP,6745
2012-07-04 17:45:00,78.58798,NSKP,6791
2012-07-04 21:00:00,74.8949,NSKP,6804
2012-07-15 15:00:00,28.68334,NSKP,7836
2012-07-17 09:45:00,25.81449,NSKP,8007
2012-07-21 21:00:00,27.37681,NSKP,8436
2012-07-22 15:00:00,27.29073,NSKP,8508
2012-07-22 20:30:00,33.90166,NSKP,8530
2012-07-23 02:45:00,35.11464,NSKP,8555
2012-07-23 05:45:00,29.67712,NSKP,8567
2012-07-23 15:00:00,33.932,NSKP,8604
2012-07-23 18:00:00,39.96677,NSKP,8616
2012-07-23 19:00:00,44.71801,NSKP,8620
2012-07-23 20:30:00,43.67657,NSKP,8626
2012-07-24 01:45:00,60.09235,NSKP,8647
2012-07-30 21:45:00,22.27154,NSKP,9303
2012-07-31 22:30:00,36.25672,NSKP,9402
2012-08-03 02:30:00,41.69401,NSKP,9610
2012-08-03 06:15:00,31.68778,NSKP,9625
2012-08-03 06:45:00,32.16421,NSKP,9627
2012-08-03 08:00:00,30.76914,NSKP,9632
2012-08-03 08:30:00,26.10147,NSKP,9634
2012-08-03 13:30:00,32.6606,NSKP,9654
2012-08-03 15:30:00,43.22479,NSKP,9662
2012-08-03 17:45:00,47.05778,NSKP,9671
2012-08-03 18:15:00,49.8469,NSKP,9673
2012-08-03 22:15:00,52.03049,NSKP,9689
2012-08-04 05:30:00,44.36391,NSKP,9718
2012-08-04 06:00:00,45.90906,NSKP,9720
2012-08-04 08:30:00,33.59535,NSKP,9730
2012-08-04 09:15:00,35.03789,NSKP,9733
2012-08-04 10:00:00,37.93062,NSKP,9736
2012-08-04 12:30:00,40.31303,NSKP,9746
2012-08-04 18:15:00,45.68238,NSKP,9769
2012-08-05 22:15:00,35.66415,NSKP,9881
2012-08-07 23:30:00,32.33657,NSKP,10078
2012-08-09 01:15:00,45.04496,NSKP,10181
2012-08-09 03:45:00,47.63798,NSKP,10191
2012-08-09 11:00:00,49.23068,NSKP,10220
2012-08-09 11:45:00,43.79969,NSKP,10223
2012-08-09 12:30:00,48.05936,NSKP,10226
2012-08-09 14:15:00,48.10162,NSKP,10233
2012-08-09 15:15:00,48.04328,NSKP,10237
2012-08-09 17:30:00,55.56765,NSKP,10246
2012-08-10 02:15:00,76.19976,NSKP,10281
2012-08-10 14:15:00,61.72687,NSKP,10329
2012-08-20 23:15:00,34.10466,NSKP,11325
2012-08-21 20:15:00,29.87959,NSKP,11409
2012-08-23 02:45:00,32.10751,NSKP,11531
2012-08-23 12:45:00,27.21418,NSKP,11571
2012-08-23 13:30:00,25.93424,NSKP,11574
2012-08-23 16:45:00,31.25499,NSKP,11587
2012-08-23 21:15:00,40.17505,NSKP,11605
2012-08-25 05:45:00,35.65444,NSKP,11735
2012-08-25 07:15:00,26.69868,NSKP,11741
2012-08-25 08:15:00,29.62692,NSKP,11745
2012-08-25 13:45:00,31.83556,NSKP,11767
2012-08-25 16:00:00,29.19518,NSKP,11776
2012-08-25 17:15:00,38.34283,NSKP,11781
2012-08-25 19:30:00,37.66864,NSKP,11790
2012-08-25 21:15:00,38.13462,NSKP,11797
2012-08-26 03:45:00,42.9713,NSKP,11823
2012-08-27 05:00:00,41.67178,NSKP,11924
2012-08-27 10:00:00,41.01634,NSKP,11944
2012-09-01 12:00:00,36.87904,NSKP,12432
2012-09-01 20:15:00,39.33085,NSKP,12465
2012-09-02 22:45:00,27.1833,NSKP,12571
2012-09-04 05:45:00,32.41097,NSKP,12695
2012-09-04 23:15:00,27.08211,NSKP,12765
2012-09-05 03:30:00,81.83585,NSKP,12782
2012-09-05 05:15:00,78.46205,NSKP,12789
2012-09-07 17:00:00,30.73951,NSKP,13028
2012-09-08 14:30:00,32.00525,NSKP,13114
2012-09-08 16:00:00,38.99823,NSKP,13120
2012-09-08 20:15:00,59.58092,NSKP,13137
2012-09-12 21:15:00,29.75231,NSKP,13525
2012-09-13 21:15:00,35.6397,NSKP,13621
2012-09-14 16:15:00,29.70587,NSKP,13697
2012-09-14 18:45:00,37.65988,NSKP,13707
2012-09-14 22:00:00,37.91895,NSKP,13720
2012-09-17 22:15:00,26.8266,NSKP,14009
2012-09-17 22:45:00,28.23313,NSKP,14011
2012-09-17 23:30:00,30.75662,NSKP,14014
2012-09-18 00:30:00,31.20752,NSKP,14018
2012-09-18 02:00:00,32.03081,NSKP,14024
2012-09-18 02:45:00,32.12352,NSKP,14027
2012-09-18 04:15:00,32.24346,NSKP,14033
2012-09-18 12:15:00,33.47251,NSKP,14065
2012-09-18 23:00:00,82.65973,NSKP,14108
2012-09-22 17:45:00,33.7313,NSKP,14471
2012-09-22 19:15:00,39.12006,NSKP,14477
2012-09-23 02:30:00,35.74796,NSKP,14506
2012-09-26 23:45:00,38.03625,NSKP,14879
2012-09-29 09:15:00,31.18584,NSKP,15109
2012-10-01 09:30:00,41.15199,NSKP,15302
2012-10-03 17:30:00,38.61985,NSKP,15526
2012-10-04 19:45:00,47.95408,NSKP,15631
2012-10-06 13:30:00,41.22131,NSKP,15798
2012-10-10 18:30:00,41.74342,NSKP,16202
2012-10-15 19:15:00,36.8954,NSKP,16685
2012-10-19 22:00:00,62.20492,NSKP,17080
2012-10-27 12:30:00,26.53672,SKP,17810
2012-10-31 11:00:00,32.98096,NSKP,17821
2012-10-31 11:30:00,34.26428,NSKP,17823
2012-10-31 13:45:00,38.29859,NSKP,17832
2012-10-31 15:00:00,35.98049,NSKP,17837
