timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456048.9166666665,28.46222,NSKP,616
2456056.229166667,38.09339,NSKP,1318
2456063.2604166665,38.94278,NSKP,1993
2456064.28125,43.10656,NSKP,2091
2456076.552083333,20.55849,NSKP,3269
2456076.65625,50.91167,NSKP,3279
2456076.854166667,50.87842,NSKP,3298
2456076.927083333,61.43491,NSKP,3305
2456077.34375,48.39317,NSKP,3345
2456081.2604166665,45.57343,NSKP,3721
2456083.1354166665,31.40129,NSKP,3901
2456100.0625,23.85191,NSKP,5526
2456100.177083333,25.05013,NSKP,5537
2456104.1458333335,51.68857,NSKP,5918
2456105.71875,31.71394,NSKP,6069
2456111.302083333,24.5393,NSKP,6605
2456112.7604166665,27.09485,NSKP,6745
2456113.2395833335,78.58798,NSKP,6791
2456113.375,74.8949,NSKP,6804
2456124.125,28.68334,NSKP,7836
2456125.90625,25.81449,NSKP,8007
2456130.375,27.37681,NSKP,8436
2456131.125,27.29073,NSKP,8508
2456131.354166667,33.90166,NSKP,8530
2456131.6145833335,35.11464,NSKP,8555
2456131.7395833335,29.67712,NSKP,8567
2456132.125,33.932,NSKP,8604
2456132.25,39.96677,NSKP,8616
2456132.2916666665,44.71801,NSKP,8620
2456132.354166667,43.67657,NSKP,8626
2456132.5729166665,60.09235,NSKP,8647
2456139.40625,22.27154,NSKP,9303
2456140.4375,36.25672,NSKP,9402
2456142.604166667,41.69401,NSKP,9610
2456142.7604166665,31.68778,NSKP,9625
2456142.78125,32.16421,NSKP,9627
2456142.8333333335,30.76914,NSKP,9632
2456142.854166667,26.10147,NSKP,9634
2456143.0625,32.6606,NSKP,9654
2456143.1458333335,43.22479,NSKP,9662
2456143.2395833335,47.05778,NSKP,9671
2456143.2604166665,49.8469,NSKP,9673
2456143.427083333,52.03049,NSKP,9689
2456143.729166667,44.36391,NSKP,9718
2456143.75,45.90906,NSKP,9720
2456143.854166667,33.59535,NSKP,9730
2456143.8854166665,35.03789,NSKP,9733
2456143.9166666665,37.93062,NSKP,9736
2456144.0208333335,40.31303,NSKP,9746
2456144.2604166665,45.68238,NSKP,9769
2456145.427083333,35.66415,NSKP,9881
2456147.479166667,32.33657,NSKP,10078
2456148.552083333,45.04496,NSKP,10181
2456148.65625,47.63798,NSKP,10191
2456148.9583333335,49.23068,NSKP,10220
2456148.9895833335,43.79969,NSKP,10223
2456149.0208333335,48.05936,NSKP,10226
2456149.09375,48.10162,NSKP,10233
2456149.1354166665,48.04328,NSKP,10237
2456149.229166667,55.56765,NSKP,10246
2456149.59375,76.19976,NSKP,10281
2456150.09375,61.72687,NSKP,10329
2456160.46875,34.10466,NSKP,11325
2456161.34375,29.87959,NSKP,11409
2456162.6145833335,32.10751,NSKP,11531
2456163.03125,27.21418,NSKP,11571
2456163.0625,25.93424,NSKP,11574
2456163.1979166665,31.25499,NSKP,11587
2456163.3854166665,40.17505,NSKP,11605
2456164.7395833335,35.65444,NSKP,11735
2456164.802083333,26.69868,NSKP,11741
2456164.84375,29.62692,NSKP,11745
2456165.0729166665,31.83556,NSKP,11767
2456165.1666666665,29.19518,NSKP,11776
2456165.21875,38.34283,NSKP,11781
2456165.3125,37.66864,NSKP,11790
2456165.3854166665,38.13462,NSKP,11797
2456165.65625,42.9713,NSKP,11823
2456166.7083333335,41.67178,NSKP,11924
2456166.9166666665,41.01634,NSKP,11944
2456172.0,36.87904,NSKP,12432
2456172.34375,39.33085,NSKP,12465
2456173.4479166665,27.1833,NSKP,12571
2456174.7395833335,32.41097,NSKP,12695
2456175.46875,27.08211,NSKP,12765
2456175.6458333335,81.83585,NSKP,12782
2456175.71875,78.46205,NSKP,12789
2456178.2083333335,30.73951,NSKP,13028
2456179.104166667,32.00525,NSKP,13114
2456179.1666666665,38.99823,NSKP,13120
2456179.34375,59.58092,NSKP,13137
2456183.3854166665,29.75231,NSKP,13525
2456184.3854166665,35.6397,NSKP,13621
2456185.177083333,29.70587,NSKP,13697
2456185.28125,37.65988,NSKP,13707
2456185.4166666665,37.91895,NSKP,13720
2456188.427083333,26.8266,NSKP,14009
2456188.4479166665,28.23313,NSKP,14011
2456188.479166667,30.75662,NSKP,14014
2456188.5208333335,31.20752,NSKP,14018
2456188.5833333335,32.03081,NSKP,14024
