timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456044.65625,26.71488,NAP,207
2456048.9166666665,28.46222,NAP,616
2456048.927083333,27.74371,NAP,617
2456051.96875,26.34231,NAP,909
2456056.229166667,38.09339,NAP,1318
2456056.239583333,37.29078,NAP,1319
2456063.2604166665,38.94278,NAP,1993
2456063.2916666665,37.94644,NAP,1996
2456064.1979166665,112.40602,NAP,2083
2456064.28125,43.10656,NAP,2091
2456064.302083333,41.00051,NAP,2093
2456076.552083333,20.55849,NAP,3269
2456076.5625,113.10874,NAP,3270
2456076.625,84.50452,NAP,3276
2456076.65625,50.91167,NAP,3279
2456076.6666666665,48.54625,NAP,3280
2456076.8125,90.1541,NAP,3294
2456076.854166667,50.87842,NAP,3298
2456076.875,96.68559,NAP,3300
2456076.927083333,61.43491,NAP,3305
2456076.958333333,58.09281,NAP,3308
2456077.34375,48.39317,NAP,3345
2456077.354166667,47.36985,NAP,3346
2456081.2604166665,45.57343,NAP,3721
2456081.28125,44.25958,NAP,3723
2456083.1354166665,31.40129,NAP,3901
2456091.875,20.63006,NAP,4740
2456100.020833333,112.03548,NAP,5522
2456100.052083333,111.27075,NAP,5525
2456100.0625,23.85191,NAP,5526
2456100.104166667,109.37583,NAP,5530
2456100.177083333,25.05013,NAP,5537
2456100.208333333,23.08516,PP,5540
2456100.21875,107.00181,NAP,5541
2456103.2916666665,17.40392,PP,5836
2456104.145833333,51.68857,NAP,5918
2456104.1666666665,47.96928,NAP,5920
2456105.71875,31.71394,NAP,6069
2456105.739583333,31.39729,NAP,6071
2456107.802083333,23.04135,NAP,6269
2456111.302083333,24.5393,NAP,6605
2456111.364583333,23.72689,NAP,6611
2456112.7604166665,27.09485,NAP,6745
2456112.770833333,26.45343,NAP,6746
2456113.145833333,119.94422,NAP,6782
2456113.239583333,78.58798,NAP,6791
2456113.25,75.36282,NAP,6792
2456113.3229166665,74.88189,NAP,6799
2456113.375,74.8949,NAP,6804
2456113.395833333,72.30349,NAP,6806
2456124.125,28.68334,NAP,7836
2456124.145833333,27.07469,NAP,7838
2456125.90625,25.81449,NAP,8007
2456125.9479166665,24.26887,NAP,8011
2456130.333333333,107.4735,NAP,8432
2456130.375,27.37681,NAP,8436
2456130.3854166665,24.96976,PP,8437
2456130.4166666665,105.65717,NAP,8440
2456131.0625,108.42024,NAP,8502
2456131.125,27.29073,NAP,8508
2456131.15625,105.38424,NAP,8511
2456131.1875,104.87881,NAP,8514
2456131.28125,102.20755,NAP,8523
2456131.354166667,33.90166,NAP,8530
2456131.40625,98.74541,NAP,8535
2456131.583333333,33.84126,PP,8552
2456131.614583333,35.11464,NAP,8555
2456131.729166667,104.99854,NAP,8566
2456131.739583333,29.67712,NAP,8567
2456131.770833333,109.97114,NAP,8570
2456131.9166666665,109.24486,NAP,8584
2456131.979166667,106.31861,NAP,8590
2456132.125,33.932,NAP,8604
2456132.15625,99.51886,NAP,8607
2456132.25,39.96677,NAP,8616
2456132.270833333,95.18099,NAP,8618
2456132.2916666665,44.71801,NAP,8620
2456132.302083333,39.89691,PP,8621
2456132.3125,89.00471,NAP,8622
2456132.354166667,43.67657,NAP,8626
