timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-05-15T15:45:00,4.6413194366,NPLP,1983
2012-05-29T02:45:00,20.079293653,NPLP,3275
2012-05-29T08:30:00,12.527961521,NPLP,3298
2012-06-02T16:15:00,24.215808607,NPLP,3713
2012-06-25T16:30:00,7.601351951,NPLP,5922
2012-06-25T18:45:00,2.9858146662,NPLP,5931
2012-07-04T19:15:00,8.273678073,NPLP,6797
2012-07-15T14:15:00,24.216969131,NPLP,7833
2012-08-09T23:45:00,3.0108319833,NPLP,10271
2012-08-10T04:15:00,2.8554581906,NPLP,10289
2012-09-04T10:15:00,48.922808997,NPLP,12713
2012-09-04T11:00:00,0.1607992424,NPLP,12716
2012-09-04T12:30:00,67.10217671,NPLP,12722
2012-09-04T13:15:00,35.963867135,NPLP,12725
2012-09-05T00:30:00,63.96697174,NPLP,12770
2012-09-05T01:30:00,52.785792148,NPLP,12774
2012-09-05T03:45:00,6.662796685,NPLP,12783
2012-09-08T17:15:00,2.2572944906,NPLP,13125
2012-09-19T01:00:00,2.7210164236,NPLP,14116
2012-10-20T03:45:00,1.7756159179,NPLP,17103
2012-10-31T11:30:00,18.204769608,NPLP,17823
2012-10-31T13:00:00,3.4658314673,NPLP,17829
2012-10-31T14:30:00,3.8966408162,NPLP,17835
2012-10-31T15:45:00,3.5493916645,NPLP,17840
2012-11-06T13:15:00,6.269749429,NPLP,18406
2012-11-06T14:30:00,5.3235952,NPLP,18411
2012-11-06T15:00:00,4.3900085817,NPLP,18413
2012-11-06T19:00:00,21.550486224,NPLP,18429
2012-11-06T19:30:00,1.8069364853,NPLP,18431
2012-11-06T20:15:00,1.1161635874,NPLP,18434
2012-11-06T21:00:00,1.4385244377,NPLP,18437
2012-11-13T06:30:00,6.515620019,NPLP,19051
2012-11-14T12:15:00,2.2337642492,NPLP,19170
2012-12-05T02:30:00,6.387061121,NPLP,21147
2012-12-05T05:30:00,20.11360936,NPLP,21159
2013-01-22T01:15:00,1.3506085717,NPLP,24969
2013-01-22T02:30:00,1.2878106427,NPLP,24974
2013-01-22T03:30:00,2.4014210773,NPLP,24978
2013-01-22T04:00:00,0.9445177667,NPLP,24980
2013-01-22T04:45:00,50.148501358,NPLP,24983
2013-01-22T05:30:00,37.949036032,NPLP,24986
2013-01-22T06:30:00,0.6347165022,NPLP,24990
2013-01-22T07:15:00,0.8775333091,NPLP,24993
2013-01-22T07:45:00,0.4840656718,NPLP,24995
2013-01-22T08:45:00,1.5433963001,NPLP,24999
2013-01-22T10:00:00,3.9003921483,NPLP,25004
2013-01-22T10:30:00,0.8400064075,NPLP,25006
2013-01-22T11:15:00,30.396648317,NPLP,25009
2013-01-22T11:45:00,41.930398804,NPLP,25011
2013-01-22T12:30:00,52.819496728,NPLP,25014
2013-01-23T12:15:00,0.7449903569,NPLP,25109
2013-01-23T12:45:00,1.1639247057,NPLP,25111
2013-01-23T13:15:00,5.525032536,NPLP,25113
2013-01-23T13:45:00,2.6260059287,NPLP,25115
2013-01-23T14:30:00,0.615120931,NPLP,25118
2013-01-23T15:15:00,2.990478985,NPLP,25121
2013-01-23T16:45:00,0.6109319332,NPLP,25127
2013-01-23T17:45:00,0.7910736538,NPLP,25131
2013-01-23T18:45:00,11.972434732,NPLP,25135
2013-01-23T19:30:00,1.4362324028,NPLP,25138
2013-01-23T23:00:00,5.49989608,NPLP,25152
2013-01-27T06:00:00,1.188512382,NPLP,25468
2013-01-27T20:00:00,1.2082672166,NPLP,25524
2013-01-30T17:45:00,9.837039707,NPLP,25803
2013-01-30T21:15:00,10.397757989,NPLP,25817
2013-01-30T22:30:00,10.665690881,NPLP,25822
2013-01-31T06:30:00,37.538117941,NPLP,25854
2013-01-31T08:00:00,20.253717941,NPLP,25860
2013-01-31T11:45:00,12.687082942,NPLP,25875
2013-03-12T09:15:00,26.736417351,NPLP,29705
2013-03-12T12:30:00,22.559493939,NPLP,29718
2013-03-12T16:15:00,26.999664936,NPLP,29733
2013-03-12T19:45:00,19.005160788,NPLP,29747
2013-03-12T22:30:00,11.670112057,NPLP,29758
2013-03-13T01:00:00,5.932357941,NPLP,29768
2013-03-16T18:00:00,18.485962104,NPLP,30124
2013-03-17T00:45:00,10.020853128,NPLP,30151
2013-03-17T01:15:00,10.552539791,NPLP,30153
2013-03-17T02:45:00,4.850521172,NPLP,30159
2013-03-21T02:30:00,1.421777706,NPLP,30542
2013-03-27T01:30:00,2.1490410588,NPLP,31114
2013-04-08T14:00:00,7.407464194,NPLP,32316
2013-04-09T07:45:00,4.0821765042,NPLP,32387
2013-04-09T11:45:00,4.944406329,NPLP,32403
2013-04-10T05:00:00,3.216237941,NPLP,32472
2013-04-16T21:30:00,24.005247577,NPLP,33114
2013-04-17T16:15:00,11.527694774,NPLP,33189
2013-04-17T17:30:00,6.394277358,NPLP,33194
2013-04-19T07:45:00,5.758550953,NPLP,33347
2013-04-19T11:30:00,56.497882487,NPLP,33362
2013-04-19T12:00:00,102.74415276,NPLP,33364
2013-04-19T12:45:00,75.85987354,NPLP,33367
2013-04-19T13:15:00,66.82735475,NPLP,33369
2013-04-19T16:00:00,209.92971729,NPLP,33380
2013-04-19T17:00:00,187.19147179,NPLP,33384
2013-04-19T17:45:00,238.67571158,NPLP,33387
2013-04-26T16:45:00,18.369619573,NPLP,34055
2013-05-02T19:15:00,47.323100739,NPLP,34641
2013-05-02T20:30:00,56.267777739,NPLP,34646
2013-05-02T21:30:00,82.3780677,NPLP,34650
2013-05-02T22:30:00,92.45234197,NPLP,34654
2013-05-02T23:45:00,90.54037868,NPLP,34659
2013-05-03T00:30:00,92.39795784,NPLP,34662
2013-05-03T01:45:00,92.12060495,NPLP,34667
2013-05-03T03:30:00,108.88641122,NPLP,34674
2013-05-03T05:15:00,58.435031617,NPLP,34681
2013-05-03T06:00:00,95.88811031,NPLP,34684
2013-05-04T08:30:00,6.164759045,NPLP,34790
2013-05-04T09:00:00,1.1772732009,NPLP,34792
2013-05-06T20:15:00,175.87698009,NPLP,35029
2013-05-06T22:15:00,175.87580722,NPLP,35037
2013-05-07T07:30:00,166.45475981,NPLP,35074
2013-05-07T12:30:00,114.86749265,NPLP,35094
2013-05-07T13:00:00,121.706868,NPLP,35096
2013-05-08T01:30:00,100.50792178,NPLP,35146
2013-05-08T03:15:00,121.19426208,NPLP,35153
2013-05-08T05:00:00,135.95174453,NPLP,35160
2013-05-08T06:45:00,130.29295543,NPLP,35167
2013-05-08T08:00:00,133.49242133,NPLP,35172
2013-05-08T09:45:00,118.3759172,NPLP,35179
2013-05-09T06:15:00,22.628298197,NPLP,35261
2013-05-09T07:15:00,21.883056599,NPLP,35265
2013-05-09T10:30:00,20.763632433,NPLP,35278
2013-05-09T12:15:00,17.374149247,NPLP,35285
2013-05-09T12:45:00,16.378623364,NPLP,35287
2013-05-10T01:45:00,27.831791509,NPLP,35339
2013-05-10T12:45:00,121.61297667,NPLP,35383
2013-05-10T13:15:00,151.38263955,NPLP,35385
2013-05-10T14:45:00,265.35128167,NPLP,35391
2013-05-10T15:15:00,276.82837019,NPLP,35393
2013-05-11T03:15:00,18.745104644,NPLP,35441
2013-05-11T04:30:00,21.194359681,NPLP,35446
2013-05-11T06:15:00,21.322307452,NPLP,35453
2013-05-12T02:45:00,11.06102832,NPLP,35535
2013-05-12T13:00:00,9.797699178,NPLP,35576
2013-05-12T13:30:00,10.316218832,NPLP,35578
2013-05-12T15:45:00,11.115233433,NPLP,35587
2013-05-12T16:15:00,11.203853021,NPLP,35589
2013-05-12T21:00:00,13.276030353,NPLP,35608
2013-05-14T03:45:00,70.137747,NPLP,35731
2013-05-14T11:30:00,61.380687,NPLP,35762
2013-05-21T20:00:00,-0.3392511,NPLP,36468
2013-05-25T07:45:00,3.30969282,NPLP,36803
2013-06-01T23:45:00,4.98588804,NPLP,37539
2013-06-02T14:45:00,7.45719588,NPLP,37599
2013-06-08T02:00:00,15.07807524,NPLP,38124
2013-06-11T07:00:00,7.49381856,NPLP,38432
2013-06-11T10:45:00,10.2594489,NPLP,38447
2013-06-12T13:15:00,7.32707598,NPLP,38553
2013-06-12T15:30:00,8.8370601,NPLP,38562
2013-06-12T16:00:00,7.83294606,NPLP,38564
2013-06-12T22:45:00,9.54868092,NPLP,38591
2013-06-13T04:45:00,12.26897478,NPLP,38615
2013-06-13T22:15:00,46.48723926,NPLP,38685
2013-06-14T00:30:00,20.43796452,NPLP,38694
2013-06-14T01:30:00,38.90760522,NPLP,38698
2013-06-14T02:00:00,26.63671464,NPLP,38700
2013-06-14T02:45:00,22.73942124,NPLP,38703
2013-06-15T23:00:00,334.7851848,NPLP,38880
2013-06-16T00:00:00,282.9683568,NPLP,38884
2013-06-16T01:00:00,68.860341,NPLP,38888
2013-06-16T07:45:00,16.92005514,NPLP,38915
2013-06-16T08:30:00,19.51635348,NPLP,38918
2013-06-16T11:15:00,6.19713096,NPLP,38929
2013-06-16T14:30:00,11.55583368,NPLP,38942
2013-06-16T15:00:00,13.6086381,NPLP,38944
2013-06-16T16:30:00,12.05846544,NPLP,38950
2013-06-16T18:15:00,9.3360024,NPLP,38957
2013-06-16T20:15:00,12.10032258,NPLP,38965
2013-06-17T02:45:00,11.47228008,NPLP,38991
2013-06-17T03:15:00,10.0911984,NPLP,38993
2013-06-17T08:15:00,13.69567722,NPLP,39013
2013-06-17T12:00:00,12.3534183,NPLP,39028
