timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2456063.15625,4.6413194366,NPLP,1983
2456076.6145833335,20.079293653,NPLP,3275
2456076.854166667,12.527961521,NPLP,3298
2456081.177083333,24.215808607,NPLP,3713
2456104.1875,7.601351951,NPLP,5922
2456104.28125,2.9858146662,NPLP,5931
2456113.302083333,8.273678073,NPLP,6797
2456124.09375,24.216969131,NPLP,7833
2456149.4895833335,3.0108319833,NPLP,10271
2456149.677083333,2.8554581906,NPLP,10289
2456174.927083333,48.922808997,NPLP,12713
2456174.9583333335,0.1607992424,NPLP,12716
2456175.0208333335,67.10217671,NPLP,12722
2456175.052083333,35.963867135,NPLP,12725
2456175.5208333335,63.96697174,NPLP,12770
2456175.5625,52.785792148,NPLP,12774
2456175.65625,6.662796685,NPLP,12783
2456179.21875,2.2572944906,NPLP,13125
2456189.5416666665,2.7210164236,NPLP,14116
2456220.65625,1.7756159179,NPLP,17103
2456231.979166667,18.204769608,NPLP,17823
2456232.0416666665,3.4658314673,NPLP,17829
2456232.104166667,3.8966408162,NPLP,17835
2456232.15625,3.5493916645,NPLP,17840
2456238.052083333,6.269749429,NPLP,18406
2456238.104166667,5.3235952,NPLP,18411
2456238.125,4.3900085817,NPLP,18413
2456238.2916666665,21.550486224,NPLP,18429
2456238.3125,1.8069364853,NPLP,18431
2456238.34375,1.1161635874,NPLP,18434
2456238.375,1.4385244377,NPLP,18437
2456244.7708333335,6.515620019,NPLP,19051
2456246.0104166665,2.2337642492,NPLP,19170
2456266.604166667,6.387061121,NPLP,21147
2456266.729166667,20.11360936,NPLP,21159
2456314.552083333,1.3506085717,NPLP,24969
2456314.604166667,1.2878106427,NPLP,24974
2456314.6458333335,2.4014210773,NPLP,24978
2456314.6666666665,0.9445177667,NPLP,24980
2456314.6979166665,50.148501358,NPLP,24983
2456314.729166667,37.949036032,NPLP,24986
2456314.7708333335,0.6347165022,NPLP,24990
2456314.802083333,0.8775333091,NPLP,24993
2456314.8229166665,0.4840656718,NPLP,24995
2456314.8645833335,1.5433963001,NPLP,24999
2456314.9166666665,3.9003921483,NPLP,25004
2456314.9375,0.8400064075,NPLP,25006
