timestamp_of_peak,value_of_peak,label_of_peak,idx_of_peak
2012-05-15T17:00:00,21.083134567,NSKP,1988
2012-05-16T17:00:00,108.75190155,NSKP,2084
2012-05-29T01:30:00,237.51580488,NSKP,3270
2012-05-29T07:45:00,41.794784167,NSKP,3295
2012-05-29T09:00:00,142.63099226,NSKP,3300
2012-06-02T15:30:00,32.707177525,NSKP,3710
2012-06-25T13:45:00,186.88726635,NSKP,5911
2012-07-02T18:15:00,55.177428403,NSKP,6601
2012-07-04T15:45:00,303.30270048,NSKP,6783
2012-07-04T19:45:00,52.020105574,NSKP,6799
2012-07-15T13:45:00,39.869209412,NSKP,7831
2012-07-24T00:30:00,187.16961937,NSKP,8642
2012-08-05T21:45:00,27.20095412,NSKP,9879
2012-08-09T15:30:00,101.82270905,NSKP,10238
2012-08-10T01:00:00,172.92190326,NSKP,10276
2012-08-10T12:45:00,51.312408162,NSKP,10323
2012-09-04T10:30:00,231.78448303,SKP,12714
2012-09-04T12:00:00,166.94193297,SKP,12720
2012-09-04T13:30:00,94.43943067,NSKP,12726
2012-09-05T00:00:00,93.36958804,NSKP,12768
2012-09-08T15:00:00,45.826802577,NSKP,13116
2012-09-08T17:30:00,45.523615682,NSKP,13126
2012-09-18T21:00:00,99.4692528,NSKP,14100
2012-10-19T20:00:00,31.460422888,NSKP,17072
2012-10-20T05:15:00,29.810262701,NSKP,17109
2012-10-31T11:15:00,303.22967389,SKP,17822
2012-11-06T12:45:00,303.5072737,SKP,18404
2012-11-06T14:45:00,303.45702548,SKP,18412
2012-11-06T15:15:00,98.15088519,SKP,18414
2012-11-06T18:45:00,303.45702548,SKP,18428
2012-11-06T19:15:00,82.04546646,SKP,18430
2012-11-06T19:45:00,199.33870119,SKP,18432
2012-11-06T20:30:00,303.42770373,SKP,18435
2012-11-06T21:15:00,125.19992178,SKP,18438
2012-11-16T15:15:00,303.37467766,SKP,19374
2012-12-02T21:00:00,23.472344833,NSKP,20933
2012-12-05T04:15:00,44.796633818,NSKP,21154
2012-12-05T12:00:00,303.40375249,SKP,21185
2012-12-21T07:30:00,80.46295618,SKP,21922
2012-12-21T17:30:00,25.459970584,NSKP,21962
2012-12-30T06:15:00,38.296508029,NSKP,22781
2013-01-22T02:15:00,70.52843863,NSKP,24973
2013-01-22T03:00:00,67.81139268,NSKP,24976
2013-01-22T03:45:00,114.36951674,NSKP,24979
2013-01-22T04:30:00,85.25233996,NSKP,24982
2013-01-22T06:15:00,89.45979503,NSKP,24989
2013-01-22T07:00:00,90.24685253,NSKP,24992
2013-01-22T07:30:00,62.80428719,NSKP,24994
2013-01-22T08:15:00,66.04048244,NSKP,24997
2013-01-22T09:30:00,205.39138942,NSKP,25002
2013-01-22T11:00:00,90.92366025,NSKP,25008
2013-01-22T12:15:00,78.96841115,NSKP,25013
2013-01-23T13:00:00,23.015542833,NSKP,25112
2013-01-23T14:00:00,68.37356779,NSKP,25116
2013-01-23T15:00:00,24.04611901,NSKP,25120
2013-01-23T15:30:00,30.77839281,NSKP,25122
2013-01-23T17:15:00,47.728481649,NSKP,25129
2013-01-23T19:00:00,53.840739329,NSKP,25136
2013-01-23T23:15:00,44.171728682,NSKP,25153
2013-01-31T06:15:00,44.371351156,NSKP,25853
2013-01-31T09:00:00,49.812967943,NSKP,25864
2013-03-12T07:45:00,46.845742649,NSKP,29699
2013-03-12T16:00:00,71.42852376,NSKP,29732
2013-03-12T18:00:00,102.56877783,NSKP,29740
2013-03-12T20:30:00,53.106349865,NSKP,29750
2013-04-16T21:00:00,33.528698884,NSKP,33112
2013-04-19T11:45:00,136.07958736,NSKP,33363
2013-04-19T12:15:00,160.45367786,NSKP,33365
2013-04-19T15:00:00,303.37609745,NSKP,33376
2013-04-19T17:30:00,260.14207216,NSKP,33386
2013-04-24T00:30:00,73.31147395,SKP,33798
2013-04-24T22:45:00,102.54334507,SKP,33887
2013-04-26T16:15:00,137.74777888,SKP,34053
2013-04-26T17:15:00,61.34887898,SKP,34057
2013-04-27T04:15:00,26.52297353,SKP,34101
2013-05-02T20:00:00,102.36340212,NSKP,34644
2013-05-03T04:15:00,122.98690128,NSKP,34677
2013-05-03T05:30:00,107.47767089,NSKP,34682
2013-05-04T08:15:00,28.685184067,SKP,34789
2013-05-06T01:15:00,160.09416234,SKP,34953
2013-05-06T12:15:00,122.61701512,SKP,34997
2013-05-06T15:15:00,36.434083064,SKP,35009
2013-05-06T19:45:00,200.68694612,NSKP,35027
2013-05-07T08:30:00,221.37884212,NSKP,35078
2013-05-07T12:45:00,160.29200699,NSKP,35095
2013-05-07T13:30:00,144.14640203,NSKP,35098
2013-05-07T18:00:00,49.451804232,SKP,35116
2013-05-08T07:00:00,147.99316871,NSKP,35168
2013-05-08T10:15:00,192.38024867,NSKP,35181
2013-05-08T14:15:00,303.26603286,SKP,35197
2013-05-09T06:00:00,89.7331972,SKP,35260
2013-05-09T06:45:00,303.32165159,SKP,35263
2013-05-09T09:45:00,254.70211591,NSKP,35275
2013-05-09T11:30:00,178.26840029,NSKP,35282
2013-05-09T12:30:00,269.61805927,NSKP,35286
2013-05-10T02:15:00,40.105135299,NSKP,35341
2013-05-10T12:30:00,157.00303259,NSKP,35382
2013-05-10T13:45:00,303.30152761,NSKP,35387
2013-05-10T15:00:00,303.328874,NSKP,35392
2013-05-10T15:45:00,303.30862656,NSKP,35395
2013-05-11T01:30:00,210.71887361,SKP,35434
2013-05-11T04:15:00,303.31041673,SKP,35445
2013-05-11T04:45:00,245.45817187,SKP,35447
2013-05-11T07:15:00,255.12249721,SKP,35457
2013-05-12T02:30:00,299.40741402,SKP,35534
2013-05-12T15:00:00,112.94441796,SKP,35584
2013-05-14T00:30:00,93.6007968,NSKP,35718
2013-05-14T10:30:00,97.4973486,NSKP,35758
2013-05-21T05:00:00,195.1343034,NSKP,36408
2013-05-21T20:45:00,78.3224772,NSKP,36471
2013-05-22T01:30:00,23.45224098,NSKP,36490
2013-06-01T22:45:00,44.20169604,NSKP,37535
2013-06-08T02:15:00,29.36616726,NSKP,38125
2013-06-11T12:00:00,37.02269904,NSKP,38452
2013-06-12T09:00:00,123.317574,SKP,38536
2013-06-12T20:30:00,32.12417766,NSKP,38582
2013-06-12T23:15:00,37.15086606,NSKP,38593
2013-06-13T22:45:00,78.8647722,NSKP,38687
2013-06-14T01:15:00,61.6116336,NSKP,38697
2013-06-14T22:30:00,70.821873,NSKP,38782
2013-06-15T03:45:00,61.777134,NSKP,38803
2013-06-15T11:45:00,58.048122,NSKP,38835
2013-06-15T22:45:00,494.4801546,NSKP,38879
2013-06-15T23:45:00,1000.150806,NSKP,38883
2013-06-16T00:15:00,316.9349346,NSKP,38885
2013-06-16T01:30:00,93.4412292,NSKP,38890
2013-06-16T03:15:00,228.197427,NSKP,38897
2013-06-16T06:30:00,28.02325326,NSKP,38910
2013-06-16T13:30:00,56.582226,NSKP,38938
2013-06-16T14:45:00,55.9948788,NSKP,38943
2013-06-17T20:15:00,52.0588986,NSKP,39061
2013-06-18T08:30:00,35.0965908,NSKP,39110
2013-06-18T13:45:00,421.6044822,SKP,39131
2013-06-23T21:30:00,43.6461264,NSKP,39642
2013-06-25T15:30:00,208.5200598,NSKP,39810
2013-06-28T05:45:00,49.5537738,NSKP,40059
2013-07-01T23:15:00,123.4370334,NSKP,40417
2013-07-02T02:45:00,78.1622298,NSKP,40431
2013-07-02T04:15:00,90.1493904,NSKP,40437
2013-07-02T04:45:00,1584.79611,NSKP,40439
2013-07-04T14:30:00,25.76645322,NSKP,40670
2013-07-08T13:00:00,22.45563564,NSKP,41048
2013-07-08T20:00:00,164.0904948,NSKP,41076
2013-07-11T03:00:00,33.8862378,NSKP,41296
2013-07-17T09:15:00,23.08346184,NSKP,41897
2013-07-17T18:45:00,314.7819462,NSKP,41935
2013-07-20T14:00:00,42.73626972,NSKP,42204
2013-07-23T04:45:00,82.2002418,NSKP,42455
2013-07-29T00:30:00,190.8510072,NSKP,43014
2013-08-02T21:45:00,38.61972846,NSKP,43483
2013-08-03T05:15:00,79.6266426,NSKP,43513
2013-08-09T03:45:00,128.5486968,NSKP,44083
2013-08-16T21:00:00,20.18800824,NSKP,44824
2013-09-02T05:15:00,241.1728932,NSKP,46393
2013-09-08T04:45:00,27.76694394,NSKP,46967
2013-09-12T15:45:00,115.9598514,NSKP,47395
2013-09-12T23:30:00,113.5308642,NSKP,47426
2013-09-13T02:00:00,258.2906898,NSKP,47436
2013-09-13T08:30:00,46.37643804,NSKP,47462
2013-09-14T01:15:00,36.90228174,NSKP,47529
2013-09-21T06:30:00,1124.08638,SKP,48222
2013-09-22T02:15:00,120.6690732,NSKP,48301
2013-09-22T03:30:00,698.924628,NSKP,48306
2013-10-07T14:30:00,62.947935,NSKP,49790
2013-10-07T16:30:00,95.3259438,NSKP,49798
2013-10-08T07:15:00,21.86566812,NSKP,49857
2013-10-16T11:45:00,87.03294,SKP,50643
2013-11-01T04:15:00,60.1414116,NSKP,52149
2013-11-01T19:15:00,259.3003782,NSKP,52209
2013-11-02T09:00:00,35.65164132,NSKP,52264
2013-11-05T15:00:00,150.4568586,SKP,52576
2013-11-07T12:45:00,856.376814,NSKP,52759
2013-11-18T06:30:00,49.29342894,NSKP,53790
2013-11-27T06:30:00,44.43144372,NSKP,54654
2013-12-03T14:15:00,87.7351116,SKP,55261
2013-12-06T06:00:00,24.51051654,NSKP,55516
2013-12-06T21:30:00,39.1783881,NSKP,55578
2013-12-21T15:15:00,33.72814722,NSKP,56993
2013-12-22T05:00:00,49.02103926,NSKP,57048
2013-12-27T21:00:00,136.9323612,SKP,57592
2014-01-06T11:00:00,43.49050782,NSKP,58512
2014-01-11T17:00:00,52.2891036,NSKP,59016
2014-01-13T21:30:00,44.11893348,NSKP,59226
2014-01-14T19:00:00,69.6769044,NSKP,59312
2014-01-14T21:00:00,26.85680916,NSKP,59320
2014-01-15T02:15:00,27.90426972,NSKP,59341
2014-02-01T11:30:00,45.3535368,NSKP,61010
2014-02-01T13:00:00,21.21192918,NSKP,61016
2014-02-01T17:15:00,47.65872624,NSKP,61033
2014-02-01T19:00:00,24.06196596,NSKP,61040
2014-02-01T21:00:00,81.0629982,NSKP,61048
2014-02-02T02:00:00,109.8568542,NSKP,61068
2014-02-02T17:30:00,70.7271954,NSKP,61130
2014-02-02T18:30:00,59.2157094,NSKP,61134
2014-02-02T19:15:00,48.94767648,NSKP,61137
2014-02-02T20:15:00,38.93277018,NSKP,61141
2014-02-03T00:00:00,215.8116564,NSKP,61156
2014-02-03T00:45:00,212.3329344,NSKP,61159
2014-02-03T01:45:00,124.6519596,NSKP,61163
2014-02-03T02:15:00,148.7935734,NSKP,61165
2014-02-21T16:45:00,176.6433108,NSKP,62951
2014-03-05T08:15:00,21.00236538,NSKP,64069
2014-03-11T10:15:00,20.58177312,NSKP,64653
2014-03-27T04:45:00,37.64161986,NSKP,66167
2014-03-30T09:15:00,57.8615478,NSKP,66473
2014-04-08T06:30:00,39.80339004,NSKP,67326
2014-04-08T17:00:00,46.66893744,NSKP,67368
2014-04-10T16:30:00,40.41399258,NSKP,67558
2014-04-11T12:00:00,75.8479434,NSKP,67636
2014-04-11T13:30:00,893.38389,NSKP,67642
2014-04-11T14:45:00,2241.131268,NSKP,67647
2014-04-11T15:30:00,2437.107102,NSKP,67650
2014-04-11T19:30:00,1336.224768,NSKP,67666
2014-04-13T21:45:00,451.4006724,NSKP,67867
2014-04-14T09:00:00,758.51466,NSKP,67912
2014-04-14T10:00:00,806.2737,NSKP,67916
2014-04-14T12:00:00,776.150526,NSKP,67924
2014-04-15T11:30:00,89.1252408,NSKP,68018
2014-04-15T15:00:00,653.932374,NSKP,68032
2014-04-15T17:00:00,1243.588422,NSKP,68040
2014-04-15T18:00:00,241.2518736,NSKP,68044
2014-04-15T19:00:00,1414.590258,NSKP,68048
2014-04-15T20:00:00,612.091302,NSKP,68052
2014-04-15T20:45:00,3039.301134,NSKP,68055
2014-04-15T21:15:00,3038.657178,NSKP,68057
2014-04-15T22:00:00,2831.782914,NSKP,68060
2014-04-15T23:15:00,2941.294368,NSKP,68065
2014-04-16T00:30:00,3025.099494,NSKP,68070
2014-04-16T01:15:00,2820.971004,NSKP,68073
2014-04-16T02:00:00,2784.77907,NSKP,68076
2014-04-16T04:15:00,2092.108602,NSKP,68085
2014-04-16T04:45:00,2097.47346,NSKP,68087
2014-04-16T05:30:00,2161.39011,NSKP,68090
