series,timestamp,value,label
fDOM,2018-02-26T12:00:00.000Z,27.83034,
Stage,2018-02-26T12:00:00.000Z,0.29659,
Turbidity,2018-02-26T12:00:00.000Z,882.8481,
fDOM,2018-02-26T12:15:00.000Z,27.86469,
Stage,2018-02-26T12:15:00.000Z,0.29666,
Turbidity,2018-02-26T12:15:00.000Z,883.3428,
fDOM,2018-02-26T12:30:00.000Z,27.84952,
Stage,2018-02-26T12:30:00.000Z,0.29673,
Turbidity,2018-02-26T12:30:00.000Z,883.0995,
fDOM,2018-02-26T12:45:00.000Z,27.81889,
Stage,2018-02-26T12:45:00.000Z,0.2968,
Turbidity,2018-02-26T12:45:00.000Z,883.2604,
fDOM,2018-02-26T13:00:00.000Z,27.78835,
Stage,2018-02-26T13:00:00.000Z,0.29688,
Turbidity,2018-02-26T13:00:00.000Z,882.7657,
fDOM,2018-02-26T13:15:00.000Z,27.78072,
Stage,2018-02-26T13:15:00.000Z,0.29695,
Turbidity,2018-02-26T13:15:00.000Z,882.7657,
fDOM,2018-02-26T13:30:00.000Z,27.78835,
Stage,2018-02-26T13:30:00.000Z,0.29702,
Turbidity,2018-02-26T13:30:00.000Z,882.4362,
fDOM,2018-02-26T13:45:00.000Z,27.7769,
Stage,2018-02-26T13:45:00.000Z,0.2971,
Turbidity,2018-02-26T13:45:00.000Z,882.0242,
fDOM,2018-02-26T14:00:00.000Z,27.77308,
Stage,2018-02-26T14:00:00.000Z,0.29717,
Turbidity,2018-02-26T14:00:00.000Z,881.5299,
fDOM,2018-02-26T14:15:00.000Z,27.78454,
Stage,2018-02-26T14:15:00.000Z,0.29724,
Turbidity,2018-02-26T14:15:00.000Z,881.2004,
fDOM,2018-02-26T14:30:00.000Z,27.74636,
Stage,2018-02-26T14:30:00.000Z,0.29732,
Turbidity,2018-02-26T14:30:00.000Z,881.118,
fDOM,2018-02-26T14:45:00.000Z,27.754,
Stage,2018-02-26T14:45:00.000Z,0.29739,
Turbidity,2018-02-26T14:45:00.000Z,880.7888,
fDOM,2018-02-26T15:00:00.000Z,27.75782,
Stage,2018-02-26T15:00:00.000Z,0.29746,
Turbidity,2018-02-26T15:00:00.000Z,881.4476,
fDOM,2018-02-26T15:15:00.000Z,27.77308,
Stage,2018-02-26T15:15:00.000Z,0.29754,
Turbidity,2018-02-26T15:15:00.000Z,881.6123,
fDOM,2018-02-26T15:30:00.000Z,27.86088,
Stage,2018-02-26T15:30:00.000Z,0.29761,
Turbidity,2018-02-26T15:30:00.000Z,882.189,
fDOM,2018-02-26T15:45:00.000Z,27.78835,
Stage,2018-02-26T15:45:00.000Z,0.29768,
Turbidity,2018-02-26T15:45:00.000Z,882.1066,
fDOM,2018-02-26T16:00:00.000Z,27.76545,
Stage,2018-02-26T16:00:00.000Z,0.29776,
Turbidity,2018-02-26T16:00:00.000Z,882.2714,
fDOM,2018-02-26T16:15:00.000Z,27.75782,
Stage,2018-02-26T16:15:00.000Z,0.29783,
Turbidity,2018-02-26T16:15:00.000Z,881.777,
fDOM,2018-02-26T16:30:00.000Z,27.7998,
Stage,2018-02-26T16:30:00.000Z,0.2979,
Turbidity,2018-02-26T16:30:00.000Z,882.5186,
fDOM,2018-02-26T16:45:00.000Z,27.81507,
Stage,2018-02-26T16:45:00.000Z,0.29798,
Turbidity,2018-02-26T16:45:00.000Z,882.6833,
fDOM,2018-02-26T17:00:00.000Z,27.82652,
Stage,2018-02-26T17:00:00.000Z,0.29805,
Turbidity,2018-02-26T17:00:00.000Z,882.8481,
fDOM,2018-02-26T17:15:00.000Z,27.84942,
Stage,2018-02-26T17:15:00.000Z,0.29808,
Turbidity,2018-02-26T17:15:00.000Z,882.9305,
fDOM,2018-02-26T17:30:00.000Z,27.84942,
Stage,2018-02-26T17:30:00.000Z,0.29801,
Turbidity,2018-02-26T17:30:00.000Z,883.59,
fDOM,2018-02-26T17:45:00.000Z,27.87233,
Stage,2018-02-26T17:45:00.000Z,0.29795,
Turbidity,2018-02-26T17:45:00.000Z,883.7549,
fDOM,2018-02-26T18:00:00.000Z,27.85706,
Stage,2018-02-26T18:00:00.000Z,0.29788,
Turbidity,2018-02-26T18:00:00.000Z,883.8373,
fDOM,2018-02-26T18:15:00.000Z,27.85324,
Stage,2018-02-26T18:15:00.000Z,0.29782,
Turbidity,2018-02-26T18:15:00.000Z,884.1671,
fDOM,2018-02-26T18:30:00.000Z,27.88759,
Stage,2018-02-26T18:30:00.000Z,0.29775,
Turbidity,2018-02-26T18:30:00.000Z,884.3319,
fDOM,2018-02-26T18:45:00.000Z,27.91431,
Stage,2018-02-26T18:45:00.000Z,0.29769,
Turbidity,2018-02-26T18:45:00.000Z,884.3319,
fDOM,2018-02-26T19:00:00.000Z,27.92576,
Stage,2018-02-26T19:00:00.000Z,0.29762,
Turbidity,2018-02-26T19:00:00.000Z,884.0023,
fDOM,2018-02-26T19:15:00.000Z,27.92576,
Stage,2018-02-26T19:15:00.000Z,0.29756,
Turbidity,2018-02-26T19:15:00.000Z,884.4144,
fDOM,2018-02-26T19:30:00.000Z,27.90286,
Stage,2018-02-26T19:30:00.000Z,0.29749,
Turbidity,2018-02-26T19:30:00.000Z,884.3319,
fDOM,2018-02-26T19:45:00.000Z,27.9334,
Stage,2018-02-26T19:45:00.000Z,0.29742,
Turbidity,2018-02-26T19:45:00.000Z,884.1671,
fDOM,2018-02-26T20:00:00.000Z,27.92958,
Stage,2018-02-26T20:00:00.000Z,0.29736,
Turbidity,2018-02-26T20:00:00.000Z,884.4144,
fDOM,2018-02-26T20:15:00.000Z,27.92958,
Stage,2018-02-26T20:15:00.000Z,0.29729,
Turbidity,2018-02-26T20:15:00.000Z,884.0847,
fDOM,2018-02-26T20:30:00.000Z,27.91431,
Stage,2018-02-26T20:30:00.000Z,0.29723,
Turbidity,2018-02-26T20:30:00.000Z,884.4144,
fDOM,2018-02-26T20:45:00.000Z,27.94867,
Stage,2018-02-26T20:45:00.000Z,0.29716,
Turbidity,2018-02-26T20:45:00.000Z,884.4144,
fDOM,2018-02-26T21:00:00.000Z,27.92958,
Stage,2018-02-26T21:00:00.000Z,0.2971,
Turbidity,2018-02-26T21:00:00.000Z,884.4144,
fDOM,2018-02-26T21:15:00.000Z,27.89523,
Stage,2018-02-26T21:15:00.000Z,0.29703,
Turbidity,2018-02-26T21:15:00.000Z,884.4144,
fDOM,2018-02-26T21:30:00.000Z,27.95248,
Stage,2018-02-26T21:30:00.000Z,0.29697,
Turbidity,2018-02-26T21:30:00.000Z,884.2495,
fDOM,2018-02-26T21:45:00.000Z,27.93721,
Stage,2018-02-26T21:45:00.000Z,0.2969,
Turbidity,2018-02-26T21:45:00.000Z,884.4144,
fDOM,2018-02-26T22:00:00.000Z,27.93721,
Stage,2018-02-26T22:00:00.000Z,0.29684,
Turbidity,2018-02-26T22:00:00.000Z,884.4969,
fDOM,2018-02-26T22:15:00.000Z,27.82652,
Stage,2018-02-26T22:15:00.000Z,0.29677,
Turbidity,2018-02-26T22:15:00.000Z,884.4144,
fDOM,2018-02-26T22:30:00.000Z,27.8227,
Stage,2018-02-26T22:30:00.000Z,0.29671,
Turbidity,2018-02-26T22:30:00.000Z,884.4144,
fDOM,2018-02-26T22:45:00.000Z,27.78835,
Stage,2018-02-26T22:45:00.000Z,0.29664,
Turbidity,2018-02-26T22:45:00.000Z,884.4144,
fDOM,2018-02-26T23:00:00.000Z,27.7311,
Stage,2018-02-26T23:00:00.000Z,0.29658,
Turbidity,2018-02-26T23:00:00.000Z,884.0847,
fDOM,2018-02-26T23:15:00.000Z,27.72728,
Stage,2018-02-26T23:15:00.000Z,0.29652,
Turbidity,2018-02-26T23:15:00.000Z,884.4144,
fDOM,2018-02-26T23:30:00.000Z,27.65858,
Stage,2018-02-26T23:30:00.000Z,0.29648,
Turbidity,2018-02-26T23:30:00.000Z,884.4144,
fDOM,2018-02-26T23:45:00.000Z,27.60514,
Stage,2018-02-26T23:45:00.000Z,0.29643,
Turbidity,2018-02-26T23:45:00.000Z,884.4144,
fDOM,2018-02-27T00:00:00.000Z,27.5746,
Stage,2018-02-27T00:00:00.000Z,0.29639,
Turbidity,2018-02-27T00:00:00.000Z,884.4144,
fDOM,2018-02-27T00:15:00.000Z,27.59409,
Stage,2018-02-27T00:15:00.000Z,0.29634,
Turbidity,2018-02-27T00:15:00.000Z,884.1835,
fDOM,2018-02-27T00:30:00.000Z,27.55374,
Stage,2018-02-27T00:30:00.000Z,0.2963,
Turbidity,2018-02-27T00:30:00.000Z,884.4171,
fDOM,2018-02-27T00:45:00.000Z,27.53074,
Stage,2018-02-27T00:45:00.000Z,0.29625,
Turbidity,2018-02-27T00:45:00.000Z,884.3304,
fDOM,2018-02-27T01:00:00.000Z,27.53646,
Stage,2018-02-27T01:00:00.000Z,0.29621,
Turbidity,2018-02-27T01:00:00.000Z,883.7559,
fDOM,2018-02-27T01:15:00.000Z,27.51788,
Stage,2018-02-27T01:15:00.000Z,0.29617,
Turbidity,2018-02-27T01:15:00.000Z,882.9528,
fDOM,2018-02-27T01:30:00.000Z,27.4782,
Stage,2018-02-27T01:30:00.000Z,0.29612,
Turbidity,2018-02-27T01:30:00.000Z,883.1317,
fDOM,2018-02-27T01:45:00.000Z,27.47383,
Stage,2018-02-27T01:45:00.000Z,0.29608,
Turbidity,2018-02-27T01:45:00.000Z,883.1088,
fDOM,2018-02-27T02:00:00.000Z,27.39575,
Stage,2018-02-27T02:00:00.000Z,0.29603,
Turbidity,2018-02-27T02:00:00.000Z,882.2939,
fDOM,2018-02-27T02:15:00.000Z,27.39909,
Stage,2018-02-27T02:15:00.000Z,0.29599,
Turbidity,2018-02-27T02:15:00.000Z,882.9335,
fDOM,2018-02-27T02:30:00.000Z,27.40762,
Stage,2018-02-27T02:30:00.000Z,0.29594,
Turbidity,2018-02-27T02:30:00.000Z,882.8062,
fDOM,2018-02-27T02:45:00.000Z,27.36628,
Stage,2018-02-27T02:45:00.000Z,0.2959,
Turbidity,2018-02-27T02:45:00.000Z,883.2453,
fDOM,2018-02-27T03:00:00.000Z,27.40297,
Stage,2018-02-27T03:00:00.000Z,0.29585,
Turbidity,2018-02-27T03:00:00.000Z,883.0964,
fDOM,2018-02-27T03:15:00.000Z,27.37071,
Stage,2018-02-27T03:15:00.000Z,0.29581,
Turbidity,2018-02-27T03:15:00.000Z,883.2711,
fDOM,2018-02-27T03:30:00.000Z,27.32132,
Stage,2018-02-27T03:30:00.000Z,0.29577,
Turbidity,2018-02-27T03:30:00.000Z,883.1159,
fDOM,2018-02-27T03:45:00.000Z,27.30912,
Stage,2018-02-27T03:45:00.000Z,0.29572,
Turbidity,2018-02-27T03:45:00.000Z,883.6582,
fDOM,2018-02-27T04:00:00.000Z,27.28329,
Stage,2018-02-27T04:00:00.000Z,0.29568,
Turbidity,2018-02-27T04:00:00.000Z,883.9434,
fDOM,2018-02-27T04:15:00.000Z,27.26792,
