date,time probe cleaned,comments,,,,,,,
4/6/2010,between 1100-1400,,,,,,,,
5/11/2010,1115,,,,,,,,
6/8/2010,1100,,,,,,,,
6/15/2010,1035,,,,,,,,
7/6/2010,1145,,,,,,,,
8/3/2010,1035,,,,,,,,
8/17/2010,1420,,,,,,,,
9/14/2010,1145,,,,,,,,
10/5/2010,1445,,,,,,,,
10/19/2010,1410,,,,,,,,
11/23/2010,1100,,,,,,,,
3/15/2011,1305,,,,,,,,
4/22/2011,1520,,,,,,,,
5/24/2011,1200,,,,,,,,
6/14/2011,1300,,,,,,,,
7/12/2011,1030,,,,,,,,
8/9/2011,1200,,,,,,,,
8/29/2011,around 1245,,,,,,,,
9/14/2011,1145,,,,,,,,
10/5/2011,,"change turbidity probe 1245-1300, clean SUNA 1330-1400",,,,,,,
11/8/2011,1150,,,,,,,,
12/13/2011,1330,pump ok,,,,,,,
2/21/2012,,pump ok,,,,,,,
4/19/2012,"JF install new FDOM, CO2 and turbidity probes",,,,,,,,
5/16/2012,,pump working,,,,,,,
5/22/2012,,no pump,,,,,,,
5/30/2012,,"pump not working, replace pump at 1315",,,,,,,
6/5/2012,,pump working,,,,,,,
7/24/2012,1330,,,,,,,,
8/28/2012,1330,,,,,,,,
9/19/2012,1335,"pump, wiper working",,,,,,,
10/2/2012,1330,pump working,,,,,,,
10/17/2012,,pump working,,,,,,,
11/16/2012,around 2-3PM,,,,,,,,
11/20/2012,,pump wiper working,,,,,,,
12/4/2012,,pump wiper working,,,,,,,
12/11/2012,,"pump, wiper not working",,,,,,,
12/19/2012,,"pump, wiper not working",,,,,,,
1/2/2013,,"wiper blinking, ? Working",,,,,,,
4/22/2013,1550,"probes buried, dug out weir pool 1530, pump is not working",,,,,,,
5/6/2013,1500-1530,,,,,,,,
5/7/2013,,wiper ok,,,,,,,
5/14/2013,1345-1400,"clean probes, duisconnect blue wire on turbidity",,,,,,,
5/21/2013,1230,"clean probes, direct wire pump -pump working 1430",,,,,,,
5/28/2013,1515-1530,"pump not working, last seen working 5/26, replaced pump at 1530",,,,,,,
6/18/2013,1430-1445,pump still working!,,,,,,,
7/8/2013,1315-1325,dig out pool at 1250,,,,,,,
7/17/2013,` 1300,"fix wiper -loose wires, dig out weir pool 1200",,,,,,,
8/11/2013,1400,"pump, wiper ok",,,,,,,
8/27/2013,,pump  wiper  ok,,,,,,,
9/10/2013,1300-1500,"pump not working, replace pump w/ HB pump, clean probes",,,,,,,
10/16/2013,1200-1220,"dig out weir pool 1130-1230, pump ok, clean probes 1200- 1220",,,,,,,
11/5/2013,,"clean out weir pool 1445, pump ok",,,,,,,
11/13/2013,,pump ok,,,,,,,
11/19/2013,,FDOM pump not working,,,,,,,
12/3/2013,,"get lens paper stuck in FDOM, install new pump (not turned on) ",,,,,,,
12/4/2013,"10-1030, remove struck lens paper, start new FDOM pump",,,,,,,,
4/23/2014,1500-1530,"probes in mud - pulled out at 1230, dug pool 1330",,,,,,,
4/29/2014,1430-1500,"wiper not working - probably all winter… tried to replace wiper but lost wrench, old fdom cleaned 1230-1330",,,,,,,
5/6/2014,,replace wiper 1230,,,,,,,
6/3/2014,,"dig weir pool at 1600, wiper blinking",,,,,,,
6/6/2014,1540,sensors cleaned,,,,,,,
6/17/2014,1530,"dig out weir pool 1330, pump working, wiper not working -",,,,,,,
6/17/2014,, maybe when old program was loaded on 6/16? Corrected at 4pm today,,,,,,,
7/2/2014,,"wiper not working, pump good",,,,,,,
7/9/2014,1545,dig out weir at 1430,,,,,,,
7/22/2014,1315,"dig out pool at 1115, pump is working",,,,,,,
7/29/2014,1430,"dig out pool at 1250, pump is working",,,,,,,
8/5/2014,?,pump working,,,,,,,
8/24/2014,1230,pump working,,,,,,,
9/1/2014,1515,pump working,,,,,,,
9/8/2014,1400,pump working,,,,,,,
9/16/2014,jamie cleaned ? Time,,,,,,,,
9/21/2014,1445,,,,,,,,
9/28/2014,1245,pump working,,,,,,,
10/6/2014,1530,,,,,,,,
10/14/2014,1630,"dug out weir at 1330, pump ok",,,,,,,
10/21/2014,1315,FDOM pump not working,,,,,,,
10/27/2014,1430,dug out weir pool 1315,,,,,,,
11/4/2014,,pump ok,,,,,,,
11/25/2014,1305,"lens paper stuck in FDOM, disconnect pump, removed 12/1/14 @1130",,,,,,,
12/2/2014,,attach pump to fdom,,,,,,,
12/16/2014,,pump ok,,,,,,,
4/19/2015,1515,"probes buried, dug out weir pool 1400",,,,,,,
4/28/2015,1415,,,,,,,,
5/5/2015,1400,change pump @1300,,,,,,,
5/12/2015,1600,dug out weir pool at 1415,,,,,,,
5/20/2015,1700,"dug out weir pool at 1445, replace pump @1630",,,,,,,
5/27/2015,?,"new wiper, dug weir pool",,,,,,,
6/2/2015,1645,"dug pool 1610, pump working",,,,,,,
6/16/2015,1330,dug weir pool 1310,,,,,,,
6/29/2015,,dug weir pool 1140-1200,,,,,,,
7/15/2015,1315,"clean probes, dug weir pool at 1100, wiper blinking",,,,,,,
7/29/2015,1240,dug weir pool at 1145,,,,,,,
8/11/2015,,"probes not cleaned, weir dug out at 1200",,,,,,,
9/1/2015,,wiper blinking,,,,,,,
9/8/2015,1330,wiper and pump ok,,,,,,,
9/13/2015,1115,wiper and pump ok,,,,,,,
9/27/2015,,"wiper working, probes not cleaned, weir dug out at 1230",,,,,,,
10/14/2015,,changed FDOM and turbidity probes 1245,,,,,,,This should be 10/19
10/21/2015,,dug out weir pool 1300,,,,,,,
