Export from Output Data at a Constant Time Interval routine on 2/18/2021 at 20:56.,
Export for period 10/1/2016 00:00:00 to 10/1/2017 00:00:00.,
Averages are reported as missing if more than 10% of the period is missing.,
Missing values are indicated by -99.,
Date/Time (Averages are Foreward),SW Stage W9 good Instantaneous Stream/Lake Stage (ft)
10/1/16 0:00,0.107527778
10/1/16 0:15,0.107486111
10/1/16 0:30,0.107444444
10/1/16 0:45,0.107402778
10/1/16 1:00,0.107361111
10/1/16 1:15,0.107319444
10/1/16 1:30,0.107277778
10/1/16 1:45,0.107236111
10/1/16 2:00,0.107194444
10/1/16 2:15,0.107152778
10/1/16 2:30,0.107111111
10/1/16 2:45,0.107069444
10/1/16 3:00,0.107027778
10/1/16 3:15,0.107
10/1/16 3:30,0.107
10/1/16 3:45,0.107
10/1/16 4:00,0.107
10/1/16 4:15,0.107
10/1/16 4:30,0.107
10/1/16 4:45,0.107
10/1/16 5:00,0.107
10/1/16 5:15,0.107
10/1/16 5:30,0.107
10/1/16 5:45,0.107
10/1/16 6:00,0.107
10/1/16 6:15,0.107
10/1/16 6:30,0.107
10/1/16 6:45,0.107
10/1/16 7:00,0.107
10/1/16 7:15,0.107
10/1/16 7:30,0.107
10/1/16 7:45,0.107
10/1/16 8:00,0.107
10/1/16 8:15,0.107
10/1/16 8:30,0.107
10/1/16 8:45,0.107
10/1/16 9:00,0.107
10/1/16 9:15,0.107275862
10/1/16 9:30,0.108103449
10/1/16 9:45,0.108931035
10/1/16 10:00,0.109758621
10/1/16 10:15,0.110586207
10/1/16 10:30,0.111413793
10/1/16 10:45,0.112241379
10/1/16 11:00,0.113068966
10/1/16 11:15,0.113896552
10/1/16 11:30,0.114724138
10/1/16 11:45,0.115857143
10/1/16 12:00,0.117142857
10/1/16 12:15,0.118727274
10/1/16 12:30,0.120909091
10/1/16 12:45,0.123090909
10/1/16 13:00,0.125272727
10/1/16 13:15,0.126055556
10/1/16 13:30,0.126138889
10/1/16 13:45,0.126222222
10/1/16 14:00,0.126305556
10/1/16 14:15,0.126388889
10/1/16 14:30,0.126472222
10/1/16 14:45,0.126555556
10/1/16 15:00,0.126638889
10/1/16 15:15,0.126722222
10/1/16 15:30,0.126805556
10/1/16 15:45,0.126888889
10/1/16 16:00,0.126972222
10/1/16 16:15,0.127055556
10/1/16 16:30,0.127138889
10/1/16 16:45,0.127222222
10/1/16 17:00,0.127305556
10/1/16 17:15,0.127388889
10/1/16 17:30,0.127472222
10/1/16 17:45,0.127555556
10/1/16 18:00,0.127638889
10/1/16 18:15,0.127722222
10/1/16 18:30,0.127805556
10/1/16 18:45,0.127888889
10/1/16 19:00,0.127972222
10/1/16 19:15,0.128
10/1/16 19:30,0.128
10/1/16 19:45,0.128
10/1/16 20:00,0.128
10/1/16 20:15,0.128
10/1/16 20:30,0.128
10/1/16 20:45,0.128
10/1/16 21:00,0.128
10/1/16 21:15,0.128
10/1/16 21:30,0.128
10/1/16 21:45,0.128
10/1/16 22:00,0.128
10/1/16 22:15,0.128
10/1/16 22:30,0.128
10/1/16 22:45,0.128
10/1/16 23:00,0.128
10/1/16 23:15,0.128
10/1/16 23:30,0.128
10/1/16 23:45,0.128
10/2/16 0:00,0.128
10/2/16 0:15,0.128
10/2/16 0:30,0.128
10/2/16 0:45,0.128
10/2/16 1:00,0.128
10/2/16 1:15,0.128
10/2/16 1:30,0.128
10/2/16 1:45,0.128
10/2/16 2:00,0.128
10/2/16 2:15,0.128
10/2/16 2:30,0.128
10/2/16 2:45,0.128
10/2/16 3:00,0.128
10/2/16 3:15,0.128
10/2/16 3:30,0.128
10/2/16 3:45,0.128
10/2/16 4:00,0.128
10/2/16 4:15,0.128
10/2/16 4:30,0.128
10/2/16 4:45,0.128
10/2/16 5:00,0.128
10/2/16 5:15,0.128
10/2/16 5:30,0.128
10/2/16 5:45,0.128
10/2/16 6:00,0.128
10/2/16 6:15,0.128
10/2/16 6:30,0.128
10/2/16 6:45,0.128
10/2/16 7:00,0.128
10/2/16 7:15,0.128
10/2/16 7:30,0.128
10/2/16 7:45,0.128
10/2/16 8:00,0.128
10/2/16 8:15,0.128
10/2/16 8:30,0.128
10/2/16 8:45,0.128
10/2/16 9:00,0.128
10/2/16 9:15,0.128
10/2/16 9:30,0.128
10/2/16 9:45,0.128
10/2/16 10:00,0.128
10/2/16 10:15,0.128
10/2/16 10:30,0.128
10/2/16 10:45,0.128
10/2/16 11:00,0.128
10/2/16 11:15,0.128
10/2/16 11:30,0.128
10/2/16 11:45,0.128
10/2/16 12:00,0.128
10/2/16 12:15,0.128
10/2/16 12:30,0.128
10/2/16 12:45,0.128
10/2/16 13:00,0.128
10/2/16 13:15,0.128
10/2/16 13:30,0.128
10/2/16 13:45,0.128
10/2/16 14:00,0.128
10/2/16 14:15,0.128
10/2/16 14:30,0.128
10/2/16 14:45,0.128
10/2/16 15:00,0.128
10/2/16 15:15,0.128
10/2/16 15:30,0.128
10/2/16 15:45,0.128
10/2/16 16:00,0.128
10/2/16 16:15,0.128
10/2/16 16:30,0.128
10/2/16 16:45,0.128
10/2/16 17:00,0.128
10/2/16 17:15,0.128
10/2/16 17:30,0.128
10/2/16 17:45,0.128
10/2/16 18:00,0.128
10/2/16 18:15,0.128
10/2/16 18:30,0.128
10/2/16 18:45,0.128
10/2/16 19:00,0.128
10/2/16 19:15,0.128
10/2/16 19:30,0.128
10/2/16 19:45,0.128
10/2/16 20:00,0.128
10/2/16 20:15,0.128
10/2/16 20:30,0.128
10/2/16 20:45,0.128
10/2/16 21:00,0.128
10/2/16 21:15,0.128
10/2/16 21:30,0.128
10/2/16 21:45,0.128
10/2/16 22:00,0.128
10/2/16 22:15,0.128
10/2/16 22:30,0.128
10/2/16 22:45,0.128
10/2/16 23:00,0.128
10/2/16 23:15,0.128
10/2/16 23:30,0.128
10/2/16 23:45,0.128
10/3/16 0:00,0.128
10/3/16 0:15,0.128
10/3/16 0:30,0.128
10/3/16 0:45,0.128
10/3/16 1:00,0.128
10/3/16 1:15,0.128
10/3/16 1:30,0.128
10/3/16 1:45,0.128
10/3/16 2:00,0.128
10/3/16 2:15,0.128
10/3/16 2:30,0.128
10/3/16 2:45,0.128
10/3/16 3:00,0.128
10/3/16 3:15,0.128
10/3/16 3:30,0.128
10/3/16 3:45,0.128
10/3/16 4:00,0.128
10/3/16 4:15,0.128
10/3/16 4:30,0.128
10/3/16 4:45,0.128
10/3/16 5:00,0.128
10/3/16 5:15,0.128
10/3/16 5:30,0.128
10/3/16 5:45,0.128
10/3/16 6:00,0.128
10/3/16 6:15,0.128
10/3/16 6:30,0.128
10/3/16 6:45,0.128
10/3/16 7:00,0.128
10/3/16 7:15,0.128128205
10/3/16 7:30,0.128320513
10/3/16 7:45,0.12851282
10/3/16 8:00,0.128705128
10/3/16 8:15,0.128897436
10/3/16 8:30,0.129089744
10/3/16 8:45,0.129282051
10/3/16 9:00,0.129474359
10/3/16 9:15,0.129666667
10/3/16 9:30,0.129858974
10/3/16 9:45,0.130051282
10/3/16 10:00,0.13024359
10/3/16 10:15,0.130435897
10/3/16 10:30,0.130628205
10/3/16 10:45,0.130820513
10/3/16 11:00,0.131012821
10/3/16 11:15,0.131205128
10/3/16 11:30,0.131397436
10/3/16 11:45,0.131589744
10/3/16 12:00,0.131782051
10/3/16 12:15,0.131974359
10/3/16 12:30,0.132166667
10/3/16 12:45,0.132358974
10/3/16 13:00,0.132551282
10/3/16 13:15,0.13274359
10/3/16 13:30,0.132935897
10/3/16 13:45,0.136666667
10/3/16 14:00,0.142166665
10/3/16 14:15,0.145999999
10/3/16 14:30,0.148999999
10/3/16 14:45,0.151999999
10/3/16 15:00,0.153943396
10/3/16 15:15,0.153773585
10/3/16 15:30,0.153603774
10/3/16 15:45,0.153433962
10/3/16 16:00,0.153264151
10/3/16 16:15,0.15309434
10/3/16 16:30,0.152924528
10/3/16 16:45,0.152754717
10/3/16 17:00,0.152584906
10/3/16 17:15,0.152415094
10/3/16 17:30,0.152245283
10/3/16 17:45,0.152075472
10/3/16 18:00,0.15190566
10/3/16 18:15,0.151735849
10/3/16 18:30,0.151566038
10/3/16 18:45,0.151396226
10/3/16 19:00,0.151226415
10/3/16 19:15,0.151056604
10/3/16 19:30,0.150565218
10/3/16 19:45,0.149913044
10/3/16 20:00,0.14926087
10/3/16 20:15,0.148608696
10/3/16 20:30,0.147956522
