# fDOM,_water,_in_situ.FDOM_ppb_ave@01135100.20130501.csv generated at 2021-04-01 14:37:29 (UTC+00:00) by AQUARIUS Time-Series 20.4.195.0
# 
# Time-series identifier: fDOM, water, in situ.FDOM ppb ave@01135100
# Location: POPE BROOK TRIBUTARY (W-9), NR NORTH DANVILLE, VT
# UTC offset: (UTC-05:00)
# Value units: QSE
# Value parameter: fDOM, water, in situ
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Raw signal from 2013-05-01T05:00:00Z to 2013-06-01T05:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-05:00),Value,Approval Level,Grade,Qualifiers
2013-05-01T05:00:00Z,2013-05-01 00:00:00,18.61266921,Working,50,
2013-05-01T05:15:00Z,2013-05-01 00:15:00,18.64030221,Working,50,
2013-05-01T05:30:00Z,2013-05-01 00:30:00,18.52363659,Working,50,
2013-05-01T05:45:00Z,2013-05-01 00:45:00,18.56661723,Working,50,
2013-05-01T06:00:00Z,2013-05-01 01:00:00,18.41004231,Working,50,
2013-05-01T06:15:00Z,2013-05-01 01:15:00,18.43587237,Working,50,
2013-05-01T06:30:00Z,2013-05-01 01:30:00,18.42540354,Working,50,
2013-05-01T06:45:00Z,2013-05-01 01:45:00,18.37998576,Working,50,
2013-05-01T07:00:00Z,2013-05-01 02:00:00,18.32714784,Working,50,
2013-05-01T07:15:00Z,2013-05-01 02:15:00,18.35478084,Working,50,
2013-05-01T07:30:00Z,2013-05-01 02:30:00,18.2934084,Working,50,
2013-05-01T07:45:00Z,2013-05-01 02:45:00,18.31503462,Working,50,
2013-05-01T08:00:00Z,2013-05-01 03:00:00,18.26881503,Working,50,
2013-05-01T08:15:00Z,2013-05-01 03:15:00,18.2565342,Working,50,
2013-05-01T08:30:00Z,2013-05-01 03:30:00,18.18614253,Working,50,
2013-05-01T08:45:00Z,2013-05-01 03:45:00,18.08800008,Working,50,
2013-05-01T09:00:00Z,2013-05-01 04:00:00,18.27307776,Working,50,
2013-05-01T09:15:00Z,2013-05-01 04:15:00,18.34868346,Working,50,
2013-05-01T09:30:00Z,2013-05-01 04:30:00,18.2227857,Working,50,
2013-05-01T09:45:00Z,2013-05-01 04:45:00,18.12147225,Working,50,
2013-05-01T10:00:00Z,2013-05-01 05:00:00,18.57992184,Working,50,
2013-05-01T10:15:00Z,2013-05-01 05:15:00,18.36727911,Working,50,
2013-05-01T10:30:00Z,2013-05-01 05:30:00,18.07624926,Working,50,
2013-05-01T10:45:00Z,2013-05-01 05:45:00,18.06719379,Working,50,
2013-05-01T11:00:00Z,2013-05-01 06:00:00,18.02044872,Working,50,
2013-05-01T11:15:00Z,2013-05-01 06:15:00,17.94123714,Working,50,
2013-05-01T11:30:00Z,2013-05-01 06:30:00,17.85284778,Working,50,
2013-05-01T11:45:00Z,2013-05-01 06:45:00,17.8103745,Working,50,
2013-05-01T12:00:00Z,2013-05-01 07:00:00,17.70438156,Working,50,
2013-05-01T12:15:00Z,2013-05-01 07:15:00,17.65085508,Working,50,
2013-05-01T12:30:00Z,2013-05-01 07:30:00,17.58433656,Working,50,
2013-05-01T12:45:00Z,2013-05-01 07:45:00,17.56716333,Working,50,
2013-05-01T13:00:00Z,2013-05-01 08:00:00,17.36151945,Working,50,
2013-05-01T13:15:00Z,2013-05-01 08:15:00,17.32369395,Working,50,
2013-05-01T13:30:00Z,2013-05-01 08:30:00,17.17638288,Working,50,
2013-05-01T13:45:00Z,2013-05-01 08:45:00,17.11831734,Working,50,
2013-05-01T14:00:00Z,2013-05-01 09:00:00,17.01697671,Working,50,
2013-05-01T14:15:00Z,2013-05-01 09:15:00,16.88484114,Working,50,
2013-05-01T14:30:00Z,2013-05-01 09:30:00,16.82929881,Working,50,
2013-05-01T14:45:00Z,2013-05-01 09:45:00,16.76137146,Working,50,
2013-05-01T15:00:00Z,2013-05-01 10:00:00,16.56488271,Working,50,
2013-05-01T15:15:00Z,2013-05-01 10:15:00,16.63549635,Working,50,
2013-05-01T15:30:00Z,2013-05-01 10:30:00,16.71340329,Working,50,
2013-05-01T15:45:00Z,2013-05-01 10:45:00,16.6877499,Working,50,
2013-05-01T16:00:00Z,2013-05-01 11:00:00,16.6969005,Working,50,
2013-05-01T16:15:00Z,2013-05-01 11:15:00,16.63856769,Working,50,
2013-05-01T16:30:00Z,2013-05-01 11:30:00,16.73374299,Working,50,
2013-05-01T16:45:00Z,2013-05-01 11:45:00,16.75523331,Working,50,
2013-05-01T17:00:00Z,2013-05-01 12:00:00,16.77365682,Working,50,
2013-05-01T17:15:00Z,2013-05-01 12:15:00,16.82584695,Working,50,
2013-05-01T17:30:00Z,2013-05-01 12:30:00,16.85654676,Working,50,
2013-05-01T17:45:00Z,2013-05-01 12:45:00,16.89646059,Working,50,
2013-05-01T18:00:00Z,2013-05-01 13:00:00,16.99777404,Working,50,
2013-05-01T18:15:00Z,2013-05-01 13:15:00,17.0223357,Working,50,
2013-05-01T18:30:00Z,2013-05-01 13:30:00,17.18198196,Working,50,
2013-05-01T18:45:00Z,2013-05-01 13:45:00,17.23417662,Working,50,
2013-05-01T19:00:00Z,2013-05-01 14:00:00,17.29557624,Working,50,
2013-05-01T19:15:00Z,2013-05-01 14:15:00,17.45829837,Working,50,
2013-05-01T19:30:00Z,2013-05-01 14:30:00,17.48286003,Working,50,
2013-05-01T19:45:00Z,2013-05-01 14:45:00,17.62715412,Working,50,
2013-05-01T20:00:00Z,2013-05-01 15:00:00,17.7960144,Working,50,
2013-05-01T20:15:00Z,2013-05-01 15:15:00,17.88504702,Working,50,
2013-05-01T20:30:00Z,2013-05-01 15:30:00,17.97101283,Working,50,
2013-05-01T20:45:00Z,2013-05-01 15:45:00,18.04776462,Working,50,
2013-05-01T21:00:00Z,2013-05-01 16:00:00,18.09074526,Working,50,
2013-05-01T21:15:00Z,2013-05-01 16:15:00,18.11837826,Working,50,
2013-05-01T21:30:00Z,2013-05-01 16:30:00,18.20434407,Working,50,
2013-05-01T21:45:00Z,2013-05-01 16:45:00,18.22890573,Working,50,
2013-05-01T22:00:00Z,2013-05-01 17:00:00,18.34250001,Working,50,
2013-05-01T22:15:00Z,2013-05-01 17:15:00,18.39776148,Working,50,
