series,timestamp,value,label
fDOM,2018-02-26T11:15:00.000Z,27.92287,
Stage,2018-02-26T11:15:00.000Z,0.29637,
Turbidity,2018-02-26T11:15:00.000Z,27.91628,
fDOM,2018-02-26T11:30:00.000Z,27.90454,
Stage,2018-02-26T11:30:00.000Z,0.29644,
Turbidity,2018-02-26T11:30:00.000Z,27.91399,
fDOM,2018-02-26T11:45:00.000Z,27.88591,
Stage,2018-02-26T11:45:00.000Z,0.29651,
Turbidity,2018-02-26T11:45:00.000Z,27.87259,
fDOM,2018-02-26T12:00:00.000Z,27.86916,
Stage,2018-02-26T12:00:00.000Z,0.29659,
Turbidity,2018-02-26T12:00:00.000Z,27.83034,
fDOM,2018-02-26T12:15:00.000Z,27.85402,
Stage,2018-02-26T12:15:00.000Z,0.29666,
Turbidity,2018-02-26T12:15:00.000Z,27.86469,
fDOM,2018-02-26T12:30:00.000Z,27.83799,
Stage,2018-02-26T12:30:00.000Z,0.29673,
Turbidity,2018-02-26T12:30:00.000Z,27.84952,
fDOM,2018-02-26T12:45:00.000Z,27.82402,
Stage,2018-02-26T12:45:00.000Z,0.29680,
Turbidity,2018-02-26T12:45:00.000Z,27.81889,
fDOM,2018-02-26T13:00:00.000Z,27.81111,
Stage,2018-02-26T13:00:00.000Z,0.29688,
Turbidity,2018-02-26T13:00:00.000Z,27.78835,
fDOM,2018-02-26T13:15:00.000Z,27.79972,
Stage,2018-02-26T13:15:00.000Z,0.29695,
Turbidity,2018-02-26T13:15:00.000Z,27.78072,
fDOM,2018-02-26T13:30:00.000Z,27.79100,
Stage,2018-02-26T13:30:00.000Z,0.29702,
Turbidity,2018-02-26T13:30:00.000Z,27.78835,
fDOM,2018-02-26T13:45:00.000Z,27.78474,
Stage,2018-02-26T13:45:00.000Z,0.29710,
Turbidity,2018-02-26T13:45:00.000Z,27.77690,
fDOM,2018-02-26T14:00:00.000Z,27.78174,
Stage,2018-02-26T14:00:00.000Z,0.29717,
Turbidity,2018-02-26T14:00:00.000Z,27.77308,
fDOM,2018-02-26T14:15:00.000Z,27.77863,
Stage,2018-02-26T14:15:00.000Z,0.29724,
Turbidity,2018-02-26T14:15:00.000Z,27.78454,
fDOM,2018-02-26T14:30:00.000Z,27.77634,
Stage,2018-02-26T14:30:00.000Z,0.29732,
Turbidity,2018-02-26T14:30:00.000Z,27.74636,
fDOM,2018-02-26T14:45:00.000Z,27.77578,
Stage,2018-02-26T14:45:00.000Z,0.29739,
Turbidity,2018-02-26T14:45:00.000Z,27.75400,
fDOM,2018-02-26T15:00:00.000Z,27.77761,
Stage,2018-02-26T15:00:00.000Z,0.29746,
Turbidity,2018-02-26T15:00:00.000Z,27.75782,
fDOM,2018-02-26T15:15:00.000Z,27.78072,
Stage,2018-02-26T15:15:00.000Z,0.29754,
Turbidity,2018-02-26T15:15:00.000Z,27.77308,
fDOM,2018-02-26T15:30:00.000Z,27.78535,
Stage,2018-02-26T15:30:00.000Z,0.29761,
Turbidity,2018-02-26T15:30:00.000Z,27.86088,
fDOM,2018-02-26T15:45:00.000Z,27.78942,
Stage,2018-02-26T15:45:00.000Z,0.29768,
Turbidity,2018-02-26T15:45:00.000Z,27.78835,
fDOM,2018-02-26T16:00:00.000Z,27.79380,
Stage,2018-02-26T16:00:00.000Z,0.29776,
Turbidity,2018-02-26T16:00:00.000Z,27.76545,
fDOM,2018-02-26T16:15:00.000Z,27.80148,
Stage,2018-02-26T16:15:00.000Z,0.29783,
Turbidity,2018-02-26T16:15:00.000Z,27.75782,
fDOM,2018-02-26T16:30:00.000Z,27.80973,
Stage,2018-02-26T16:30:00.000Z,0.29790,
Turbidity,2018-02-26T16:30:00.000Z,27.79980,
fDOM,2018-02-26T16:45:00.000Z,27.81787,
Stage,2018-02-26T16:45:00.000Z,0.29798,
Turbidity,2018-02-26T16:45:00.000Z,27.81507,
fDOM,2018-02-26T17:00:00.000Z,27.82672,
Stage,2018-02-26T17:00:00.000Z,0.29805,
Turbidity,2018-02-26T17:00:00.000Z,27.82652,
fDOM,2018-02-26T17:15:00.000Z,27.83441,
Stage,2018-02-26T17:15:00.000Z,0.29808,
Turbidity,2018-02-26T17:15:00.000Z,27.84942,
fDOM,2018-02-26T17:30:00.000Z,27.84550,
Stage,2018-02-26T17:30:00.000Z,0.29801,
Turbidity,2018-02-26T17:30:00.000Z,27.84942,
fDOM,2018-02-26T17:45:00.000Z,27.85741,
Stage,2018-02-26T17:45:00.000Z,0.29795,
Turbidity,2018-02-26T17:45:00.000Z,27.87233,
fDOM,2018-02-26T18:00:00.000Z,27.86790,
Stage,2018-02-26T18:00:00.000Z,0.29788,
Turbidity,2018-02-26T18:00:00.000Z,27.85706,
fDOM,2018-02-26T18:15:00.000Z,27.87777,
Stage,2018-02-26T18:15:00.000Z,0.29782,
Turbidity,2018-02-26T18:15:00.000Z,27.85324,
fDOM,2018-02-26T18:30:00.000Z,27.88744,
Stage,2018-02-26T18:30:00.000Z,0.29775,
Turbidity,2018-02-26T18:30:00.000Z,27.88759,
fDOM,2018-02-26T18:45:00.000Z,27.89640,
Stage,2018-02-26T18:45:00.000Z,0.29769,
Turbidity,2018-02-26T18:45:00.000Z,27.91431,
fDOM,2018-02-26T19:00:00.000Z,27.90317,
Stage,2018-02-26T19:00:00.000Z,0.29762,
Turbidity,2018-02-26T19:00:00.000Z,27.92576,
fDOM,2018-02-26T19:15:00.000Z,27.91014,
Stage,2018-02-26T19:15:00.000Z,0.29756,
Turbidity,2018-02-26T19:15:00.000Z,27.92576,
fDOM,2018-02-26T19:30:00.000Z,27.91502,
Stage,2018-02-26T19:30:00.000Z,0.29749,
Turbidity,2018-02-26T19:30:00.000Z,27.90286,
fDOM,2018-02-26T19:45:00.000Z,27.91889,
Stage,2018-02-26T19:45:00.000Z,0.29742,
Turbidity,2018-02-26T19:45:00.000Z,27.93340,
fDOM,2018-02-26T20:00:00.000Z,27.92363,
Stage,2018-02-26T20:00:00.000Z,0.29736,
Turbidity,2018-02-26T20:00:00.000Z,27.92958,
fDOM,2018-02-26T20:15:00.000Z,27.92612,
Stage,2018-02-26T20:15:00.000Z,0.29729,
Turbidity,2018-02-26T20:15:00.000Z,27.92958,
fDOM,2018-02-26T20:30:00.000Z,27.92744,
Stage,2018-02-26T20:30:00.000Z,0.29723,
Turbidity,2018-02-26T20:30:00.000Z,27.91431,
fDOM,2018-02-26T20:45:00.000Z,27.92434,
Stage,2018-02-26T20:45:00.000Z,0.29716,
Turbidity,2018-02-26T20:45:00.000Z,27.94867,
fDOM,2018-02-26T21:00:00.000Z,27.91915,
Stage,2018-02-26T21:00:00.000Z,0.29710,
Turbidity,2018-02-26T21:00:00.000Z,27.92958,
fDOM,2018-02-26T21:15:00.000Z,27.91172,
Stage,2018-02-26T21:15:00.000Z,0.29703,
Turbidity,2018-02-26T21:15:00.000Z,27.89523,
fDOM,2018-02-26T21:30:00.000Z,27.89986,
Stage,2018-02-26T21:30:00.000Z,0.29697,
Turbidity,2018-02-26T21:30:00.000Z,27.95248,
fDOM,2018-02-26T21:45:00.000Z,27.88474,
Stage,2018-02-26T21:45:00.000Z,0.29690,
Turbidity,2018-02-26T21:45:00.000Z,27.93721,
fDOM,2018-02-26T22:00:00.000Z,27.86398,
Stage,2018-02-26T22:00:00.000Z,0.29684,
Turbidity,2018-02-26T22:00:00.000Z,27.93721,
fDOM,2018-02-26T22:15:00.000Z,27.83767,
Stage,2018-02-26T22:15:00.000Z,0.29677,
Turbidity,2018-02-26T22:15:00.000Z,27.82652,
fDOM,2018-02-26T22:30:00.000Z,27.80744,
Stage,2018-02-26T22:30:00.000Z,0.29671,
Turbidity,2018-02-26T22:30:00.000Z,27.82270,
fDOM,2018-02-26T22:45:00.000Z,27.77687,
Stage,2018-02-26T22:45:00.000Z,0.29664,
Turbidity,2018-02-26T22:45:00.000Z,27.78835,
fDOM,2018-02-26T23:00:00.000Z,27.74489,
Stage,2018-02-26T23:00:00.000Z,0.29658,
Turbidity,2018-02-26T23:00:00.000Z,27.73110,
fDOM,2018-02-26T23:15:00.000Z,27.71029,
Stage,2018-02-26T23:15:00.000Z,0.29652,
Turbidity,2018-02-26T23:15:00.000Z,27.72728,
fDOM,2018-02-26T23:30:00.000Z,27.67671,
Stage,2018-02-26T23:30:00.000Z,0.29648,
Turbidity,2018-02-26T23:30:00.000Z,27.65858,
fDOM,2018-02-26T23:45:00.000Z,27.64447,
Stage,2018-02-26T23:45:00.000Z,0.29643,
Turbidity,2018-02-26T23:45:00.000Z,27.60514,
fDOM,2018-02-27T00:00:00.000Z,27.61687,
Stage,2018-02-27T00:00:00.000Z,0.29639,
Turbidity,2018-02-27T00:00:00.000Z,27.57460,
fDOM,2018-02-27T00:15:00.000Z,27.59126,
Stage,2018-02-27T00:15:00.000Z,0.29634,
Turbidity,2018-02-27T00:15:00.000Z,27.59409,
fDOM,2018-02-27T00:30:00.000Z,27.56489,
Stage,2018-02-27T00:30:00.000Z,0.29630,
Turbidity,2018-02-27T00:30:00.000Z,27.55374,
fDOM,2018-02-27T00:45:00.000Z,27.54120,
Stage,2018-02-27T00:45:00.000Z,0.29625,
Turbidity,2018-02-27T00:45:00.000Z,27.53074,
fDOM,2018-02-27T01:00:00.000Z,27.51887,
Stage,2018-02-27T01:00:00.000Z,0.29621,
Turbidity,2018-02-27T01:00:00.000Z,27.53646,
fDOM,2018-02-27T01:15:00.000Z,27.49755,
Stage,2018-02-27T01:15:00.000Z,0.29617,
Turbidity,2018-02-27T01:15:00.000Z,27.51788,
fDOM,2018-02-27T01:30:00.000Z,27.47897,
Stage,2018-02-27T01:30:00.000Z,0.29612,
Turbidity,2018-02-27T01:30:00.000Z,27.47820,
fDOM,2018-02-27T01:45:00.000Z,27.46061,
Stage,2018-02-27T01:45:00.000Z,0.29608,
Turbidity,2018-02-27T01:45:00.000Z,27.47383,
fDOM,2018-02-27T02:00:00.000Z,27.43972,
Stage,2018-02-27T02:00:00.000Z,0.29603,
Turbidity,2018-02-27T02:00:00.000Z,27.39575,
fDOM,2018-02-27T02:15:00.000Z,27.42107,
Stage,2018-02-27T02:15:00.000Z,0.29599,
Turbidity,2018-02-27T02:15:00.000Z,27.39909,
fDOM,2018-02-27T02:30:00.000Z,27.40286,
Stage,2018-02-27T02:30:00.000Z,0.29594,
Turbidity,2018-02-27T02:30:00.000Z,27.40762,
fDOM,2018-02-27T02:45:00.000Z,27.38387,
Stage,2018-02-27T02:45:00.000Z,0.29590,
Turbidity,2018-02-27T02:45:00.000Z,27.36628,
fDOM,2018-02-27T03:00:00.000Z,27.36290,
Stage,2018-02-27T03:00:00.000Z,0.29585,
Turbidity,2018-02-27T03:00:00.000Z,27.40297,
fDOM,2018-02-27T03:15:00.000Z,27.34241,
Stage,2018-02-27T03:15:00.000Z,0.29581,
Turbidity,2018-02-27T03:15:00.000Z,27.37071,
fDOM,2018-02-27T03:30:00.000Z,27.32017,
Stage,2018-02-27T03:30:00.000Z,0.29577,
Turbidity,2018-02-27T03:30:00.000Z,27.32132,
fDOM,2018-02-27T03:45:00.000Z,27.29791,
Stage,2018-02-27T03:45:00.000Z,0.29572,
Turbidity,2018-02-27T03:45:00.000Z,27.30912,
fDOM,2018-02-27T04:00:00.000Z,27.27211,
Stage,2018-02-27T04:00:00.000Z,0.29568,
Turbidity,2018-02-27T04:00:00.000Z,27.28329,
fDOM,2018-02-27T04:15:00.000Z,27.24552,
Stage,2018-02-27T04:15:00.000Z,0.29563,
Turbidity,2018-02-27T04:15:00.000Z,27.26792,
fDOM,2018-02-27T04:30:00.000Z,27.21843,
Stage,2018-02-27T04:30:00.000Z,0.29559,
Turbidity,2018-02-27T04:30:00.000Z,27.18205,
fDOM,2018-02-27T04:45:00.000Z,27.18875,
Stage,2018-02-27T04:45:00.000Z,0.29554,
Turbidity,2018-02-27T04:45:00.000Z,27.20305,
fDOM,2018-02-27T05:00:00.000Z,27.15943,
Stage,2018-02-27T05:00:00.000Z,0.29550,
Turbidity,2018-02-27T05:00:00.000Z,27.17636,
fDOM,2018-02-27T05:15:00.000Z,27.13090,
Stage,2018-02-27T05:15:00.000Z,0.29541,
Turbidity,2018-02-27T05:15:00.000Z,27.12133,
fDOM,2018-02-27T05:30:00.000Z,27.10461,
Stage,2018-02-27T05:30:00.000Z,0.29525,
Turbidity,2018-02-27T05:30:00.000Z,27.06864,
