series,timestamp,value,label
fDOM,2018-02-26T11:15:00.000Z,99.51352,
Stage,2018-02-26T11:15:00.000Z,0.29637,
Turbidity,2018-02-26T11:15:00.000Z,885.15550,
fDOM,2018-02-26T11:30:00.000Z,99.51581,
Stage,2018-02-26T11:30:00.000Z,0.29644,
Turbidity,2018-02-26T11:30:00.000Z,884.55890,
fDOM,2018-02-26T11:45:00.000Z,99.55721,
Stage,2018-02-26T11:45:00.000Z,0.29651,
Turbidity,2018-02-26T11:45:00.000Z,884.26040,
fDOM,2018-02-26T12:00:00.000Z,99.59946,
Stage,2018-02-26T12:00:00.000Z,0.29659,
Turbidity,2018-02-26T12:00:00.000Z,882.84810,
fDOM,2018-02-26T12:15:00.000Z,99.56511,
Stage,2018-02-26T12:15:00.000Z,0.29666,
Turbidity,2018-02-26T12:15:00.000Z,883.34280,
fDOM,2018-02-26T12:30:00.000Z,99.58028,
Stage,2018-02-26T12:30:00.000Z,0.29673,
Turbidity,2018-02-26T12:30:00.000Z,883.09950,
fDOM,2018-02-26T12:45:00.000Z,99.61091,
Stage,2018-02-26T12:45:00.000Z,0.29680,
Turbidity,2018-02-26T12:45:00.000Z,883.26040,
fDOM,2018-02-26T13:00:00.000Z,99.64145,
Stage,2018-02-26T13:00:00.000Z,0.29688,
Turbidity,2018-02-26T13:00:00.000Z,882.76570,
fDOM,2018-02-26T13:15:00.000Z,99.64908,
Stage,2018-02-26T13:15:00.000Z,0.29695,
Turbidity,2018-02-26T13:15:00.000Z,882.76570,
fDOM,2018-02-26T13:30:00.000Z,99.64145,
Stage,2018-02-26T13:30:00.000Z,0.29702,
Turbidity,2018-02-26T13:30:00.000Z,882.43620,
fDOM,2018-02-26T13:45:00.000Z,99.65290,
Stage,2018-02-26T13:45:00.000Z,0.29710,
Turbidity,2018-02-26T13:45:00.000Z,882.02420,
fDOM,2018-02-26T14:00:00.000Z,99.65672,
Stage,2018-02-26T14:00:00.000Z,0.29717,
Turbidity,2018-02-26T14:00:00.000Z,881.52990,
fDOM,2018-02-26T14:15:00.000Z,99.64526,
Stage,2018-02-26T14:15:00.000Z,0.29724,
Turbidity,2018-02-26T14:15:00.000Z,881.20040,
fDOM,2018-02-26T14:30:00.000Z,99.68344,
Stage,2018-02-26T14:30:00.000Z,0.29732,
Turbidity,2018-02-26T14:30:00.000Z,881.11800,
fDOM,2018-02-26T14:45:00.000Z,99.67580,
Stage,2018-02-26T14:45:00.000Z,0.29739,
Turbidity,2018-02-26T14:45:00.000Z,880.78880,
fDOM,2018-02-26T15:00:00.000Z,99.67198,
Stage,2018-02-26T15:00:00.000Z,0.29746,
Turbidity,2018-02-26T15:00:00.000Z,881.44760,
fDOM,2018-02-26T15:15:00.000Z,99.65672,
Stage,2018-02-26T15:15:00.000Z,0.29754,
Turbidity,2018-02-26T15:15:00.000Z,881.61230,
fDOM,2018-02-26T15:30:00.000Z,99.56892,
Stage,2018-02-26T15:30:00.000Z,0.29761,
Turbidity,2018-02-26T15:30:00.000Z,882.18900,
fDOM,2018-02-26T15:45:00.000Z,99.64145,
Stage,2018-02-26T15:45:00.000Z,0.29768,
Turbidity,2018-02-26T15:45:00.000Z,882.10660,
fDOM,2018-02-26T16:00:00.000Z,99.66435,
Stage,2018-02-26T16:00:00.000Z,0.29776,
Turbidity,2018-02-26T16:00:00.000Z,882.27140,
fDOM,2018-02-26T16:15:00.000Z,99.67198,
Stage,2018-02-26T16:15:00.000Z,0.29783,
Turbidity,2018-02-26T16:15:00.000Z,881.77700,
fDOM,2018-02-26T16:30:00.000Z,99.63000,
Stage,2018-02-26T16:30:00.000Z,0.29790,
Turbidity,2018-02-26T16:30:00.000Z,882.51860,
fDOM,2018-02-26T16:45:00.000Z,99.61473,
Stage,2018-02-26T16:45:00.000Z,0.29798,
Turbidity,2018-02-26T16:45:00.000Z,882.68330,
fDOM,2018-02-26T17:00:00.000Z,99.60328,
Stage,2018-02-26T17:00:00.000Z,0.29805,
Turbidity,2018-02-26T17:00:00.000Z,882.84810,
fDOM,2018-02-26T17:15:00.000Z,99.58038,
Stage,2018-02-26T17:15:00.000Z,0.29808,
Turbidity,2018-02-26T17:15:00.000Z,882.93050,
fDOM,2018-02-26T17:30:00.000Z,99.58038,
Stage,2018-02-26T17:30:00.000Z,0.29801,
Turbidity,2018-02-26T17:30:00.000Z,883.59000,
fDOM,2018-02-26T17:45:00.000Z,99.55747,
Stage,2018-02-26T17:45:00.000Z,0.29795,
Turbidity,2018-02-26T17:45:00.000Z,883.75490,
fDOM,2018-02-26T18:00:00.000Z,99.57274,
Stage,2018-02-26T18:00:00.000Z,0.29788,
Turbidity,2018-02-26T18:00:00.000Z,883.83730,
fDOM,2018-02-26T18:15:00.000Z,99.57656,
Stage,2018-02-26T18:15:00.000Z,0.29782,
Turbidity,2018-02-26T18:15:00.000Z,884.16710,
fDOM,2018-02-26T18:30:00.000Z,99.54221,
Stage,2018-02-26T18:30:00.000Z,0.29775,
