series,timestamp,value,label
fDOM,2015-01-01T00:00:00.000Z,6.51782,
Stage,2015-01-01T00:00:00.000Z,0.34,TN
Turbidity,2015-01-01T00:00:00.000Z,0.25567,
fDOM,2015-01-01T00:15:00.000Z,6.47789,
Stage,2015-01-01T00:15:00.000Z,0.33983,TN
Turbidity,2015-01-01T00:15:00.000Z,0.29758,
fDOM,2015-01-01T00:30:00.000Z,6.49939,
Stage,2015-01-01T00:30:00.000Z,0.33967,TN
Turbidity,2015-01-01T00:30:00.000Z,0.21375,
fDOM,2015-01-01T00:45:00.000Z,6.52704,
Stage,2015-01-01T00:45:00.000Z,0.3395,TN
Turbidity,2015-01-01T00:45:00.000Z,1.26157,
fDOM,2015-01-01T01:00:00.000Z,6.51475,
Stage,2015-01-01T01:00:00.000Z,0.33933,TN
Turbidity,2015-01-01T01:00:00.000Z,1.21965,
fDOM,2015-01-01T01:15:00.000Z,6.49018,
Stage,2015-01-01T01:15:00.000Z,0.33917,TN
Turbidity,2015-01-01T01:15:00.000Z,-0.12154,
fDOM,2015-01-01T01:30:00.000Z,6.49018,
Stage,2015-01-01T01:30:00.000Z,0.339,TN
Turbidity,2015-01-01T01:30:00.000Z,-0.03772,
fDOM,2015-01-01T01:45:00.000Z,6.53626,
Stage,2015-01-01T01:45:00.000Z,0.33883,TN
Turbidity,2015-01-01T01:45:00.000Z,0.17184,
fDOM,2015-01-01T02:00:00.000Z,6.50861,
Stage,2015-01-01T02:00:00.000Z,0.33867,TN
Turbidity,2015-01-01T02:00:00.000Z,0.12993,
fDOM,2015-01-01T02:15:00.000Z,6.4656,
Stage,2015-01-01T02:15:00.000Z,0.3385,TN
Turbidity,2015-01-01T02:15:00.000Z,-0.24728,
fDOM,2015-01-01T02:30:00.000Z,6.4318,
Stage,2015-01-01T02:30:00.000Z,0.33833,TN
Turbidity,2015-01-01T02:30:00.000Z,0.0042,
fDOM,2015-01-01T02:45:00.000Z,6.47174,
Stage,2015-01-01T02:45:00.000Z,0.33817,TN
Turbidity,2015-01-01T02:45:00.000Z,0.17184,
fDOM,2015-01-01T03:00:00.000Z,6.47482,
Stage,2015-01-01T03:00:00.000Z,0.338,TN
Turbidity,2015-01-01T03:00:00.000Z,0.12993,
fDOM,2015-01-01T03:15:00.000Z,6.44409,
Stage,2015-01-01T03:15:00.000Z,0.33783,TN
Turbidity,2015-01-01T03:15:00.000Z,-0.28919,
fDOM,2015-01-01T03:30:00.000Z,6.45638,
Stage,2015-01-01T03:30:00.000Z,0.33767,TN
Turbidity,2015-01-01T03:30:00.000Z,-0.16345,
fDOM,2015-01-01T03:45:00.000Z,6.45024,
Stage,2015-01-01T03:45:00.000Z,0.3375,TN
Turbidity,2015-01-01T03:45:00.000Z,0.17184,
fDOM,2015-01-01T04:00:00.000Z,6.45638,
Stage,2015-01-01T04:00:00.000Z,0.33733,TN
Turbidity,2015-01-01T04:00:00.000Z,-0.03772,
fDOM,2015-01-01T04:15:00.000Z,6.43795,
Stage,2015-01-01T04:15:00.000Z,0.33717,TN
Turbidity,2015-01-01T04:15:00.000Z,-0.28919,
fDOM,2015-01-01T04:30:00.000Z,6.43795,
Stage,2015-01-01T04:30:00.000Z,0.337,TN
Turbidity,2015-01-01T04:30:00.000Z,-0.33111,
